,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant
5380,5380,Lambeth,2021-01-21,Winkworth - Clapham,1,"Rectory Grove, London SW4",0,0,pre-owned,499999.0,flat,0,leasehold,1 bed flat for sale,51.467996,-0.140417,42.0,1,1,1,2021-01-21,525000.0,0,0,0,Clapham Common,591,20
5381,5381,Lambeth,2021-01-21,Strike,0,"Barrington Road, London SW9",0,1,pre-owned,157500.0,flat,0,leasehold,1 bed flat for sale,51.464037,-0.108337,51.0,1,1,1,2021-01-21,157500.0,1,0,1,Brixton,425,54
5382,5382,Lambeth,2021-01-20,Jack Barclay Estates,1,"1 Exchange Gardens, Vauxhall SW8",0,0,new,790000.0,flat,0,leasehold,1 bed flat for sale,51.4801416026201,-0.12064743231441,57.0,1,0,0,2021-01-20,790000.0,0,1,1,Chesham,586,13
5383,5383,Lambeth,2021-01-20,Property Inside London,0,"One Blackfriars Road, London SE1",0,0,pre-owned,2650000.0,flat,0,leasehold,2 bed flat for sale,51.507969,-0.104554,121.0,2,2,2,2021-01-20,2650000.0,0,1,1,Blackfriars,373,64
5384,5384,Lambeth,2021-01-20,Property Inside London,0,"The Corniche, 20 Albert Embankment, London SE1",0,0,pre-owned,3150000.0,flat,0,leasehold,3 bed flat for sale,51.490992,-0.122155,143.0,3,3,1,2021-01-20,3150000.0,1,1,0,Vauxhall,479,13
5385,5385,Lambeth,2021-01-20,Knight Frank - Dulwich Village Sales,0,"Rollscourt Avenue, London SE24",0,0,pre-owned,2500000.0,semi_detached,0,Other,5 bed semi-detached house for sale,51.457247,-0.097911,291.0,5,4,3,2021-01-20,2500000.0,1,0,1,Brixton,1580,9
5386,5386,Lambeth,2021-01-20,Jacksons Estate Agents - Streatham,1,"Eardley Road, London SW16",0,0,pre-owned,325000.0,flat,0,leasehold,1 bed flat for sale,51.424498,-0.139435,46.0,1,1,1,2021-01-20,325000.0,0,0,0,Chesham,1545,3
5387,5387,Lambeth,2021-01-19,Marsh & Parsons - Clapham,0,"Bedford Road, London SW4",0,0,pre-owned,750000.0,flat,0,share_of_freehold,3 bed flat for sale,51.462732,-0.129104,116.0,3,2,1,2021-01-19,750000.0,0,0,0,Clapham North,213,35
5388,5388,Lambeth,2021-01-19,Prime London (Central and Riverside),0,"The Tower, One St George Wharf, London SW8",0,0,pre-owned,3175000.0,flat,0,Other,3 bed flat for sale,51.48507,-0.127995,135.0,3,2,1,2021-01-19,3175000.0,0,1,1,Vauxhall,304,17
5389,5389,Lambeth,2021-01-19,Hamptons - Clapham Sales,0,"Clapham Common North Side, London SW4",0,0,pre-owned,3425000.0,terraced,0,freehold,6 bed terraced house for sale,51.461554,-0.144917,334.0,6,4,3,2021-01-19,3425000.0,1,0,1,Clapham Common,333,20
5390,5390,Lambeth,2021-01-19,Goldstone Letting and Management LTD,0,"1-16 Blackfriars Rd, South Bank, London SE1",0,0,pre-owned,2390000.0,flat,0,leasehold,2 bed flat for sale,51.507727,-0.105072,90.0,2,2,1,2021-01-19,2660000.0,0,0,0,Blackfriars,409,60
5391,5391,Lambeth,2021-01-18,Hamptons - London Residential Development,1,"Edgeley Road, London SW4",0,0,pre-owned,489950.0,flat,0,leasehold,1 bed flat for sale,51.467348,-0.135814,67.0,1,1,1,2021-01-18,489950.0,0,0,0,Chesham,426,36
5392,5392,Lambeth,2021-01-18,Hamptons - Clapham Sales,0,"Rush Common Mews, London SW2",0,0,pre-owned,950000.0,detached,0,freehold,4 bed detached house for sale,51.445824,-0.123202,133.0,4,2,2,2021-01-18,995000.0,1,0,0,Brixton,1630,8
5393,5393,Lambeth,2021-01-18,Hamptons - Clapham Sales,1,"Edgeley Road, London SW4",0,0,pre-owned,489950.0,flat,0,leasehold,1 bed flat for sale,51.467348,-0.135814,67.0,1,1,1,2021-01-18,489950.0,0,0,0,Chesham,426,36
5394,5394,Lambeth,2021-01-18,The London Broker,1,"Merano Residence, 30 Albert Embankment, London SE1",0,0,new,2685000.0,flat,0,leasehold,3 bed flat for sale,51.490144,-0.12303,136.0,3,2,1,2021-01-18,2695000.0,1,1,1,Vauxhall,411,19
5395,5395,Lambeth,2021-01-18,JLL - City,0,"Upper Ground, London SE1",0,0,pre-owned,4250000.0,flat,0,leasehold,3 bed flat for sale,51.507644,-0.107208,219.0,3,4,1,2021-01-18,4250000.0,0,0,1,Blackfriars,525,61
5396,5396,Lambeth,2021-01-15,MyLondonHome Battersea,0,"Bridge House, St George Wharf, Vauxhall SW8",0,0,pre-owned,900000.0,flat,0,leasehold,2 bed flat for sale,51.4863,-0.1254,83.0,2,2,1,2021-01-15,900000.0,1,0,0,Vauxhall,103,23
5397,5397,Lambeth,2021-01-15,LiFE Residential - Nine Elms Riverside,1,"Drake House, St George Wharf SW8",0,0,pre-owned,1250000.0,flat,0,leasehold,2 bed flat for sale,51.486008,-0.125643,121.0,2,3,1,2021-01-15,1250000.0,1,0,1,Vauxhall,123,23
5398,5398,Lambeth,2021-01-15,London Property Guru,0,"Clapham Common North Side, London SW4",0,0,pre-owned,2490000.0,flat,0,share_of_freehold,4 bed flat for sale,51.461526,-0.150675,272.0,4,4,1,2021-01-15,2490000.0,1,0,0,Chesham,679,10
5399,5399,Lambeth,2021-01-14,Marsh & Parsons - Balham & Clapham South,1,"Charlwood Mansions, Weir Road, London SW12",0,0,pre-owned,550000.0,flat,0,leasehold,2 bed flat for sale,51.446353,-0.145136,78.0,2,1,1,2021-01-14,550000.0,0,1,0,Clapham South,695,21
5400,5400,Lambeth,2021-01-14,Prime London (Central and Riverside),0,"The Tower, One St George Wharf, London SW8",0,0,pre-owned,3250000.0,flat,0,Other,3 bed flat for sale,51.48507,-0.127995,174.0,3,2,1,2021-01-14,3250000.0,0,1,1,Vauxhall,304,17
5401,5401,Lambeth,2021-01-14,Marsh & Parsons - Balham & Clapham South,0,"Balham High Road, London SW12",0,0,pre-owned,340000.0,flat,0,leasehold,1 bed flat for sale,51.44719,-0.148786,48.0,1,1,1,2021-01-14,340000.0,0,0,0,Chesham,775,24
5402,5402,Lambeth,2021-01-14,Prime London (Central and Riverside),1,"The Perspective Building, 100 Westminster Bridge Road, Waterloo SE1",0,0,pre-owned,550000.0,flat,0,Other,1 bed flat for sale,51.49876,-0.111063,50.0,1,1,1,2021-01-14,550000.0,1,0,0,Lambeth North,180,63
