,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
17500,17500,17500,Newham,2021-01-18,Nest Seekers International,0,"Starboard Way, London E16",0,0,pre-owned,425000.0,flat,0,leasehold,1 bed flat for sale,51.50183,0.030548,1301.0,1,1,0,2021-01-18,450000.0,1,0,1,Prince Regent,1250,3,"[2, 1, 0, 0]"
17501,17501,17501,Newham,2021-01-18,Redrow - Pontoon Reach,1,"Thames Road, London E16",0,0,new,600000.0,flat,0,leasehold,3 bed flat for sale,51.502282,0.038343,86.0,3,2,0,2021-01-18,600000.0,1,0,1,Chesham,862,0,"[0, 0, 0, 0]"
17502,17502,17502,Newham,2021-01-15,JOHNS&CO - Royal Wharf,0,"Liner House, Royal Wharf, London E16",0,0,pre-owned,410000.0,flat,0,Other,1 bed flat for sale,51.500969,0.030547,56.0,1,1,1,2021-01-15,420000.0,1,0,0,Prince Regent,1319,3,"[2, 1, 0, 0]"
17503,17503,17503,Newham,2021-01-15,"Purplebricks, Head Office",1,"30 Snowshill Road, London E12",0,0,pre-owned,299999.0,flat,0,leasehold,2 bed flat for sale,51.548614,0.049587,56.0,2,1,1,2021-01-15,310000.0,1,1,0,East Ham,826,8,"[5, 0, 1, 0]"
17504,17504,17504,Newham,2021-01-14,JOHNS&CO - Royal Wharf,0,"Summerston House, Royal Wharf, London E16",0,0,pre-owned,485000.0,flat,0,Other,1 bed flat for sale,51.500969,0.030547,78.0,1,1,1,2021-01-14,500000.0,0,0,0,Prince Regent,1319,3,"[2, 1, 0, 0]"
17505,17505,17505,Newham,2021-01-11,CHAMPS UK Property Asset Management,0,"Schooner Road, London E16",0,0,pre-owned,565000.0,flat,0,leasehold,2 bed flat for sale,51.499113,0.029894,79.0,2,2,0,2021-01-11,565000.0,1,0,0,Chesham,1463,2,"[2, 1, 0, 0]"
17506,17506,17506,Newham,2021-01-11,Madison Brook International E16,0,"The Grainstore, Royal Victoria Dock E16",0,0,pre-owned,459816.0,maisonette,0,Other,3 bed maisonette for sale,51.509258,0.02291,99.0,3,1,1,2021-01-11,460000.0,0,0,0,Custom House,231,14,"[3, 2, 1, 0]"
17507,17507,17507,Redbridge,2021-07-08,Neil King Residential,1,"Gordon Road, Wanstead, London E11",0,0,pre-owned,775000.0,terraced,0,freehold,3 bed terraced house for sale,51.575683,0.020737,111.0,3,1,1,2021-07-08,775000.0,0,0,0,Snaresbrook,529,9,"[2, 2, 0, 3]"
17508,17508,17508,Redbridge,2021-07-08,PER Westray,1,"Sylvan Road, Wanstead, London E11",0,0,pre-owned,1175000.0,terraced,0,freehold,6 bed terraced house for sale,51.583175,0.023586,181.0,6,3,2,2021-07-08,1175000.0,0,1,1,Snaresbrook,396,6,"[3, 1, 0, 0]"
17509,17509,17509,Redbridge,2021-07-08,PER Westray,1,"Sylvan Road, Wanstead, London E11",0,0,pre-owned,1175000.0,terraced,0,freehold,6 bed terraced house for sale,51.583175,0.023586,181.0,6,3,2,2021-07-08,1175000.0,0,1,1,Snaresbrook,396,6,"[3, 1, 0, 0]"
17510,17510,17510,Redbridge,2021-07-08,Lawlors - Woodford,0,"The Green, Woodford Green, Essex IG8",0,0,pre-owned,2500000.0,detached,0,freehold,11 bed detached house for sale,51.613264,0.027076,372.0,11,4,4,2021-07-08,2500000.0,0,1,1,Woodford,800,5,"[4, 0, 0, 0]"
17511,17511,17511,Redbridge,2021-07-08,eXp World UK,0,"Wanstead Park Road, Ilford IG1",0,0,pre-owned,525000.0,terraced,1,leasehold,3 bed terraced house for sale,51.56271,0.057507,21.0,3,2,1,2021-07-08,525000.0,0,0,1,Gants Hill,1384,0,"[1, 0, 0, 0]"
17512,17512,17512,Redbridge,2021-07-07,Churchill Estates - South Woodford,0,"Bressey Grove, South Woodford, London E18",0,0,pre-owned,1000000.0,end_terrace,0,freehold,4 bed end terrace house for sale,51.593251,0.018194,186.0,4,0,0,2021-07-07,1000000.0,1,1,1,South Woodford,536,16,"[4, 4, 1, 4]"
17513,17513,17513,Redbridge,2021-07-07,Portico - Woodford,0,"Wanstead Place, London E11",0,0,pre-owned,700000.0,flat,0,share_of_freehold,3 bed flat for sale,51.577835,0.022425,92.0,3,0,0,2021-07-07,700000.0,0,0,1,Chesham,353,13,"[2, 1, 0, 2]"
17514,17514,17514,Redbridge,2021-07-07,Neil King Residential,0,"Cleveland Road, South Woodford, London E18",0,0,pre-owned,1995000.0,detached,0,freehold,5 bed detached house for sale,51.59063,0.024701,279.0,5,2,2,2021-07-07,1995000.0,0,0,1,South Woodford,337,19,"[5, 4, 1, 4]"
