,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
15400,15400,15400,Harrow,2021-06-07,Gibbs Gillespie - Harrow,0,"Twyford Road, Harrow HA2",0,0,pre-owned,595000.0,semi_detached,0,freehold,3 bed semi-detached house for sale,51.573818,-0.362812,106.0,3,2,2,2021-06-07,595000.0,0,1,1,Rayners Lane,833,0,"[4, 0, 0, 1]"
15401,15401,15401,Harrow,2021-06-07,Brick Mortar,1,"Granville Lodge, Elm Park Road, Pinner HA5",0,0,pre-owned,325000.0,flat,0,leasehold,1 bed flat for sale,51.595943,-0.386477,43.0,1,1,1,2021-06-07,329000.0,0,1,1,Pinner,440,9,"[1, 1, 0, 3]"
15402,15402,15402,Harrow,2021-06-07,Daniels - Sudbury & Harrow,1,"Elmwood Court, Sudbury, Wembley HA0",0,0,pre-owned,360000.0,flat,0,leasehold,2 bed flat for sale,51.561733,-0.323238,74.0,2,1,1,2021-06-07,380000.0,0,1,0,Sudbury Town,1178,2,"[3, 1, 0, 0]"
15403,15403,15403,Harrow,2021-06-04,Keller Williams Aspire,1,"The Avenue, Hatch End, Pinner HA5",0,0,pre-owned,450000.0,flat,0,share_of_freehold,2 bed flat for sale,51.609551,-0.367101,89.0,2,1,2,2021-06-04,425000.0,0,1,1,Pinner,2064,13,"[0, 0, 1, 1]"
15404,15404,15404,Harrow,2021-06-04,David Charles,1,"Marsh Road, Pinner HA5",0,0,pre-owned,399950.0,flat,0,leasehold,2 bed flat for sale,51.589321,-0.374291,62.0,2,1,1,2021-06-04,399950.0,1,0,1,Pinner,498,2,"[2, 0, 0, 1]"
15405,15405,15405,Harrow,2021-06-04,Chancellors - Stanmore,0,"Bowls Close, Stanmore, Middlesex HA7",0,0,pre-owned,1000000.0,detached,0,freehold,4 bed detached house for sale,51.617092,-0.317963,186.0,4,1,2,2021-06-04,1000000.0,0,0,0,Stanmore,945,4,"[2, 1, 0, 1]"
15406,15406,15406,Harrow,2021-06-04,Chancellors - Stanmore,0,"Stanmore Lodge, Stanmore, Middlesex HA7",0,0,pre-owned,450000.0,flat,0,leasehold,2 bed flat for sale,51.62,-0.316,63.0,2,1,1,2021-06-04,480000.0,0,1,1,Stanmore,901,4,"[1, 0, 0, 2]"
15407,15407,15407,Harrow,2021-06-04,"Doorsteps.co.uk, National",1,"Gleneagles, Stanmore HA7",0,0,pre-owned,470000.0,flat,0,freehold,2 bed flat for sale,51.610134,-0.315919,84.0,2,1,1,2021-06-04,470000.0,1,1,1,Stanmore,1374,0,"[2, 0, 0, 0]"
15408,15408,15408,Harrow,2021-06-03,Gibbs Gillespie - Pinner,0,"Granville Place, Elm Park Road, Pinner HA5",0,0,pre-owned,400000.0,flat,0,share_of_freehold,2 bed flat for sale,51.595536,-0.38698,56.0,2,1,1,2021-06-03,400000.0,0,1,1,Pinner,493,9,"[1, 1, 0, 3]"
15409,15409,15409,Harrow,2021-06-03,Gibbs Gillespie - Harrow,1,"Garth Court, Northwick Park Road, Harrow HA1",0,0,pre-owned,375000.0,flat,0,leasehold,2 bed flat for sale,51.582247,-0.32815,64.0,2,1,1,2021-06-03,399950.0,0,1,1,Harrow-on-the-Hill,821,19,"[4, 0, 0, 3]"
15410,15410,15410,Harrow,2021-06-03,Chancellors - Stanmore,0,"The Leys, Harrow HA3,",0,0,pre-owned,700000.0,semi_detached,0,freehold,3 bed semi-detached house for sale,51.58,-0.29,99.0,3,2,2,2021-06-03,700000.0,0,0,1,Upminster,893,0,"[4, 0, 0, 0]"
15411,15411,15411,Harrow,2021-06-03,Hamilton Estates,1,"Robin Grove, Harrow HA3",0,0,pre-owned,489950.0,terraced,0,Other,4 bed terraced house for sale,51.579101,-0.285398,89.0,4,1,2,2021-06-03,489950.0,1,1,1,Kingsbury,912,0,"[4, 0, 0, 0]"
15412,15412,15412,Harrow,2021-06-02,Hunter Realty,0,"Archer Apartments Headstone Drive, Harrow, London HA1",0,0,pre-owned,331000.0,flat,0,leasehold,1 bed flat for sale,51.5840909149797,-0.348669526315789,50.0,1,1,1,2021-06-02,331000.0,1,0,0,West Harrow,624,0,"[1, 0, 0, 1]"
15413,15413,15413,Harrow,2021-06-02,Hunter Realty,0,"Archer Apartments Headstone Drive, Harrow, London HA1",0,0,pre-owned,430000.0,flat,0,leasehold,2 bed flat for sale,51.5840909149797,-0.348669526315789,64.0,2,2,1,2021-06-02,430000.0,1,0,0,West Harrow,624,0,"[1, 0, 0, 1]"
15414,15414,15414,Harrow,2021-06-02,Hunter Realty,0,"Cornelius Apartments Headstone Drive, Harrow, London HA1",0,0,pre-owned,574000.0,flat,0,leasehold,3 bed flat for sale,51.5840909149797,-0.348669526315789,91.0,3,2,1,2021-06-02,574000.0,1,0,1,West Harrow,624,0,"[1, 0, 0, 1]"
15415,15415,15415,Harrow,2021-06-02,Coopers Residential - Pinner,1,"Skillen Lodge, Pinner HA5",0,0,pre-owned,320000.0,flat,0,Other,1 bed flat for sale,51.602348,-0.388713,51.0,1,1,1,2021-06-02,320000.0,0,1,1,Pinner,976,1,"[1, 0, 0, 0]"
15416,15416,15416,Harrow,2021-06-01,Gibbs Gillespie - Pinner,0,"Suffolk Road, Harrow, Middlesex HA2",0,0,pre-owned,715000.0,detached,0,freehold,3 bed detached house for sale,51.584517,-0.367234,118.0,3,1,2,2021-06-01,715000.0,0,1,1,North Harrow,286,0,"[2, 0, 0, 0]"
15417,15417,15417,Harrow,2021-06-01,Stones Residential,1,"Uxbridge Road, Harrow Weald, Harrow HA3",0,0,pre-owned,375000.0,flat,0,Other,1 bed flat for sale,51.61341,-0.332326,68.0,1,1,1,2021-06-01,375000.0,1,1,1,Upminster,1699,0,"[3, 0, 0, 0]"
15418,15418,15418,Harrow,2021-06-01,Home & Away Estates,0,"Ruskin Gardens, Kenton HA3",0,0,pre-owned,180000.0,flat,0,leasehold,1 bed flat for sale,51.590334,-0.285379,31.0,1,1,1,2021-06-01,200000.0,0,1,1,Queensbury,555,1,"[1, 1, 0, 1]"
15419,15419,15419,Harrow,2021-06-01,Stones Residential,0,"Unwin Way, Stanmore HA7",0,0,pre-owned,350000.0,flat,0,leasehold,1 bed flat for sale,51.605228,-0.297504,43.0,1,1,1,2021-06-01,350000.0,0,1,0,Canons Park,436,2,"[3, 3, 0, 0]"
15420,15420,15420,Harrow,2021-05-28,Maple Estate & Lettings,1,"Wellesley Road, Harrow-On-The-Hill, Harrow HA1",0,0,pre-owned,589950.0,end_terrace,0,freehold,4 bed end terrace house for sale,51.58405,-0.338357,110.0,4,2,2,2021-05-28,589950.0,1,0,1,Harrow-on-the-Hill,504,24,"[4, 1, 1, 5]"
15421,15421,15421,Harrow,2021-05-27,Gibbs Gillespie - Stanmore,0,"Brannigan Way, Edgware, London HA8",0,0,pre-owned,450000.0,flat,0,leasehold,2 bed flat for sale,51.620596,-0.290286,73.0,2,2,1,2021-05-27,450000.0,0,1,1,Stanmore,842,0,"[3, 0, 0, 0]"
15422,15422,15422,Harrow,2021-05-27,Chancellors - Stanmore,0,"Stanmore, Middlesex HA7",0,0,pre-owned,650000.0,semi_detached,0,freehold,4 bed semi-detached house for sale,51.612,-0.306,93.0,4,2,1,2021-05-27,650000.0,0,0,1,Upminster,899,0,"[5, 0, 0, 0]"
15423,15423,15423,Harrow,2021-05-27,Andrew Pearce Estate Agents & Chartered Surveyors,1,"Westfield Park, Hatch End, Pinner HA5",0,0,pre-owned,825000.0,flat,0,Other,2 bed flat for sale,51.61,-0.372334,93.0,2,1,0,2021-05-27,825000.0,1,1,1,Pinner,1895,19,"[1, 1, 0, 1]"
15424,15424,15424,Harrow,2021-05-26,Chancellors - Stanmore,0,"Felbridge Avenue, Stanmore HA7",0,0,pre-owned,730000.0,semi_detached,0,freehold,3 bed semi-detached house for sale,51.60262,-0.318922,88.0,3,2,1,2021-05-26,730000.0,0,1,1,Harrow & Wealdston,1353,1,"[2, 1, 0, 0]"
15425,15425,15425,Harrow,2021-05-26,Robert Cooper & Co,1,"Winslow Close, Pinner HA5",0,0,pre-owned,450000.0,flat,0,freehold,2 bed flat for sale,51.5816,-0.399331,76.0,2,2,1,2021-05-26,450000.0,1,1,1,Eastcote,563,4,"[0, 0, 0, 1]"
15426,15426,15426,Harrow,2021-05-26,Stones Residential,0,"Uxbridge Road, Stanmore HA7",0,0,pre-owned,450000.0,flat,0,leasehold,2 bed flat for sale,51.616889,-0.318546,73.0,2,1,1,2021-05-26,460000.0,1,1,1,Stanmore,957,3,"[2, 1, 0, 1]"
