,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
12900,12900,12900,Brent,2021-02-21,Dreamview Estates,1,"Hawfinch House, 1 Moorhen Drive, London NW9",0,0,pre-owned,499000.0,flat,0,leasehold,2 bed flat for sale,51.577112,-0.242526,68.0,2,2,1,2021-02-21,499000.0,1,1,0,Hendon Central,1176,4,"[3, 1, 0, 1]"
12901,12901,12901,Brent,2021-02-20,EweMove Sales & Lettings - Finchley,1,"Moorhen Drive, Edgware NW9",0,0,pre-owned,450000.0,flat,0,leasehold,2 bed flat for sale,51.5771,-0.242436,25.0,2,2,1,2021-02-20,450000.0,1,0,0,Hendon Central,1180,4,"[3, 1, 0, 1]"
12902,12902,12902,Brent,2021-02-20,Just Sold,0,"West Hendon Broadway, London NW9",0,0,pre-owned,350000.0,maisonette,0,share_of_freehold,2 bed maisonette for sale,51.579676,-0.241722,72.0,2,1,1,2021-02-20,350000.0,0,0,1,Hendon Central,1049,4,"[5, 1, 0, 1]"
12903,12903,12903,Brent,2021-02-18,"Doorsteps.co.uk, National",0,"Dsauction, Mordaunt Road NW10",0,0,pre-owned,800000.0,terraced,1,Other,5 bed terraced house for sale,51.53735,-0.258006,4.0,5,2,1,2021-02-18,885000.0,0,0,1,Harlesden,135,3,"[4, 1, 0, 0]"
12904,12904,12904,Brent,2021-02-18,Camerons Stiff & Co,0,"Blackstone Road, London NW2",0,0,pre-owned,1350000.0,Other,0,freehold,6 bed property for sale,51.554676,-0.220944,227.0,6,2,3,2021-02-18,1350000.0,0,0,1,Willesden Green,647,4,"[2, 4, 0, 1]"
12905,12905,12905,Brent,2021-02-17,Hoopers Estate Agents,0,"Vincent Gardens, London NW2",0,0,pre-owned,800000.0,semi_detached,0,Other,4 bed semi-detached house for sale,51.562507,-0.243032,164.0,4,0,0,2021-02-17,850000.0,1,1,1,Neasden,975,1,"[2, 1, 0, 0]"
12906,12906,12906,Brent,2021-02-17,Chancellors - Stanmore,0,"Harrow, Middlesex HA3",0,0,pre-owned,625000.0,semi_detached,0,freehold,3 bed semi-detached house for sale,51.606186,-0.329153,106.0,3,0,2,2021-02-17,625000.0,0,1,0,Harrow & Wealdston,1412,1,"[1, 0, 0, 0]"
12907,12907,12907,Brent,2021-02-17,"Doorsteps.co.uk, National",0,"Jubilee Close, London NW10",0,0,pre-owned,275000.0,flat,0,leasehold,1 bed flat for sale,51.536354,-0.249648,49.0,1,1,1,2021-02-17,285000.0,1,1,0,Willesden Junction,467,10,"[6, 1, 0, 4]"
12908,12908,12908,Brent,2021-02-16,Hoopers Estate Agents,0,"Brook Road, London NW2",0,0,pre-owned,565000.0,flat,0,Other,2 bed flat for sale,51.561583,-0.238378,89.0,2,0,0,2021-02-16,600000.0,0,1,1,Dollis Hill,1076,0,"[4, 0, 0, 0]"
12909,12909,12909,Brent,2021-02-16,Savills - National Auctions,0,"Holland Road, London NW10",0,0,pre-owned,520000.0,flat,1,Other,2 bed flat for sale,51.537405,-0.23614,74.0,2,0,0,2021-02-16,520000.0,0,0,1,Willesden Junction,881,2,"[5, 1, 0, 0]"
