,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
7900,7900,7900,Tower Hamlets,2021-03-11,JLL - New Homes,1,"The Madison, Marsh Wall E14",0,0,new,615000.0,studio,0,Other,Studio for sale,51.5,-0.01353,40.0,0,1,1,2021-03-11,615000.0,0,0,1,Chesham,322,39,"[3, 4, 1, 2]"
7901,7901,7901,Tower Hamlets,2021-03-11,JLL - New Homes,1,"The Madison, Marsh Wall E14",0,0,new,743000.0,flat,0,Other,1 bed flat for sale,51.5,-0.01353,56.0,1,1,1,2021-03-11,743000.0,0,0,1,Chesham,322,39,"[3, 4, 1, 2]"
7902,7902,7902,Tower Hamlets,2021-03-10,Keatons - Bow,0,"Finn Apartments, 48 Vyner Street, London E2",0,0,pre-owned,650000.0,flat,0,leasehold,2 bed flat for sale,51.534716,-0.055216,77.0,2,1,1,2021-03-10,675000.0,1,0,0,Bethnal Green,739,29,"[5, 1, 0, 1]"
7903,7903,7903,Tower Hamlets,2021-03-10,JOHNS&CO - Canary Wharf,0,"Landmark, East Tower, London E14",0,0,pre-owned,525000.0,flat,0,Other,1 bed flat for sale,51.502013,-0.024765,49.0,1,1,1,2021-03-10,550000.0,0,1,0,Chesham,610,53,"[4, 2, 2, 3]"
7904,7904,7904,Tower Hamlets,2021-03-10,JOHNS&CO - Canary Wharf,0,"Baltimore Wharf, London E14",0,0,pre-owned,375000.0,flat,0,Other,1 bed flat for sale,51.497206,-0.015406,40.0,1,1,1,2021-03-10,400000.0,1,0,1,Crossharbour & London Arena,207,18,"[6, 4, 1, 2]"
7905,7905,7905,Tower Hamlets,2021-03-10,Knight Frank - Canary Wharf Sales,0,"Gowers Walk, London E1",0,0,pre-owned,655000.0,flat,0,leasehold,2 bed flat for sale,51.5132,-0.0676,63.0,2,1,1,2021-03-10,680000.0,0,0,0,Aldgate East,416,77,"[20, 8, 2, 6]"
7906,7906,7906,Tower Hamlets,2021-03-10,TBA Property Ltd,0,"Gibraltar Walk, London E2",0,0,pre-owned,1499950.0,terraced,0,freehold,2 bed terraced house for sale,51.526094,-0.070576,167.0,2,2,2,2021-03-10,1499950.0,1,0,0,Shoreditch,355,61,"[10, 3, 4, 3]"
7907,7907,7907,Tower Hamlets,2021-03-09,Strike,1,"Sugar Loaf Walk, London E2",0,0,pre-owned,500000.0,flat,0,leasehold,2 bed flat for sale,51.528624,-0.052822,56.0,2,1,1,2021-03-09,525000.0,0,1,1,Bethnal Green,300,26,"[11, 0, 1, 1]"
7908,7908,7908,Tower Hamlets,2021-03-09,JLL - Canary Wharf,0,"Marsh Wall, London E14",0,0,pre-owned,730000.0,flat,0,leasehold,2 bed flat for sale,51.502013,-0.024765,76.0,2,2,1,2021-03-09,730000.0,0,0,0,Chesham,610,53,"[4, 2, 2, 3]"
7909,7909,7909,Tower Hamlets,2021-03-09,Peach Properties,1,"Hewlett Road, Bow E3",0,0,pre-owned,675000.0,terraced,0,leasehold,4 bed terraced house for sale,51.5321,-0.036289,82.0,4,2,1,2021-03-09,675000.0,1,0,0,Mile End,822,18,"[4, 3, 0, 1]"
7910,7910,7910,Tower Hamlets,2021-03-09,Elliot Leigh Residential,1,"Charles Hayward Building, Goldsmith Row, Hackney E2",0,0,pre-owned,800000.0,flat,0,leasehold,3 bed flat for sale,51.531514,-0.066293,111.0,3,2,2,2021-03-09,800000.0,1,0,1,Chesham,1016,18,"[11, 1, 0, 1]"
7911,7911,7911,Tower Hamlets,2021-03-09,Knight Frank - Canary Wharf Sales,0,"The Highway, London E1W",0,0,pre-owned,750000.0,Other,0,Other,2 bed property for sale,51.509875,-0.04639,79.0,2,2,1,2021-03-09,750000.0,1,1,1,Limehouse,489,11,"[7, 3, 1, 0]"
7912,7912,7912,Tower Hamlets,2021-03-08,Adamson Knight Estate Agents,0,"Pan Peninsula East, South Quay, Canary Wharf, London E14",0,0,pre-owned,415000.0,flat,0,leasehold,1 bed flat for sale,51.499802,-0.017368,836.0,1,0,0,2021-03-08,470000.0,0,1,0,South Quay,183,39,"[7, 5, 1, 2]"
7913,7913,7913,Tower Hamlets,2021-03-08,Trevlyn Properties Ltd,0,"Park Drive, Canary Wharf E14",0,0,pre-owned,1169995.0,flat,0,leasehold,2 bed flat for sale,51.5001481546392,-0.0154863745704467,86.0,2,2,1,2021-03-08,1169995.0,1,0,0,South Quay,341,43,"[5, 4, 1, 2]"
7914,7914,7914,Tower Hamlets,2021-03-08,JOHNS&CO - Canary Wharf,1,"The Georgette North, The Silk District, London E1",0,0,new,1275000.0,flat,0,leasehold,3 bed flat for sale,51.517572,-0.057157,125.0,3,3,1,2021-03-08,1275000.0,1,0,1,Whitechapel,366,30,"[17, 10, 1, 3]"
7915,7915,7915,Tower Hamlets,2021-03-08,Marsh & Parsons - Shoreditch,0,"Dock Street, London E1",0,0,pre-owned,750000.0,flat,0,leasehold,3 bed flat for sale,51.510142,-0.067942,121.0,3,2,1,2021-03-08,750000.0,0,0,0,Tower Gateway,442,52,"[8, 5, 3, 5]"
7916,7916,7916,Tower Hamlets,2021-03-08,Elms Estate Agents,1,"Derbyshire Street, London E2",0,0,pre-owned,400000.0,flat,0,leasehold,1 bed flat for sale,51.526683,-0.061629,42.0,1,1,1,2021-03-08,400000.0,0,0,0,Bethnal Green,396,26,"[11, 3, 2, 2]"
7917,7917,7917,Tower Hamlets,2021-03-08,London Property Zone,1,"Marsh Wall, Canary Wharf E14",0,0,new,649950.0,flat,0,leasehold,1 bed flat for sale,51.5001481546392,-0.0154863745704467,51.0,1,1,0,2021-03-08,649950.0,1,0,0,South Quay,341,43,"[5, 4, 1, 2]"
7918,7918,7918,Tower Hamlets,2021-03-08,Savills - Victoria Park,0,"Longbow Apartments, 71 St. Clements Avenue, London E3",0,0,pre-owned,440000.0,flat,0,leasehold,1 bed flat for sale,51.524781,-0.028941,51.0,1,1,1,2021-03-08,440000.0,1,0,1,Chesham,383,15,"[7, 1, 0, 0]"
7919,7919,7919,Tower Hamlets,2021-03-07,Savills - Victoria Park,0,"Wrights Road, London E3",0,0,pre-owned,960000.0,terraced,0,freehold,3 bed terraced house for sale,51.533592,-0.030968,104.0,3,1,3,2021-03-07,985000.0,1,0,1,Chesham,889,10,"[4, 3, 0, 1]"
7920,7920,7920,Tower Hamlets,2021-03-05,Savills - Canary Wharf RDS,1,"Hkr, 211-227 Hackney Road, London E2",0,0,new,1200000.0,flat,0,leasehold,3 bed flat for sale,51.531245,-0.068887,97.0,3,2,1,2021-03-05,1200000.0,1,0,1,Shoreditch,912,18,"[13, 2, 0, 1]"
7921,7921,7921,Tower Hamlets,2021-03-05,Savills - Canary Wharf RDS,1,"Hkr, 211-227 Hackney Road, London E2",0,0,new,700000.0,flat,0,leasehold,1 bed flat for sale,51.531245,-0.068887,52.0,1,1,1,2021-03-05,700000.0,1,0,1,Shoreditch,912,18,"[13, 2, 0, 1]"
7922,7922,7922,Tower Hamlets,2021-03-05,Abaco,0,"Claredale Street, Bethnal Green, London E2",0,0,pre-owned,595000.0,flat,0,leasehold,2 bed flat for sale,51.530874,-0.061089,66.0,2,1,1,2021-03-05,595000.0,1,0,0,Bethnal Green,659,30,"[9, 2, 0, 2]"
7923,7923,7923,Tower Hamlets,2021-03-05,Fine & Country East London,1,"Medway Road, London E3",0,0,pre-owned,1150000.0,terraced,0,freehold,4 bed terraced house for sale,51.52978,-0.034711,168.0,4,2,1,2021-03-05,1200000.0,0,0,1,Mile End,595,19,"[7, 5, 0, 1]"
7924,7924,7924,Tower Hamlets,2021-03-05,Ernest-Brooks International,1,"The Jacquard, Whitechapel E1",0,0,new,600000.0,studio,0,Other,Studio for sale,51.51795,-0.057591,0.0,0,0,0,2021-03-05,595000.0,0,0,1,Whitechapel,335,28,"[18, 8, 1, 1]"
