,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
12500,12500,12500,Brent,2021-05-19,Douglas Martin Estate Agents,1,"Clovelly Avenue, London NW9",0,0,pre-owned,874500.0,semi_detached,0,Other,4 bed semi-detached house for sale,51.589691,-0.246402,151.0,4,1,2,2021-05-19,874500.0,0,1,0,Colindale,637,1,"[3, 1, 0, 0]"
12501,12501,12501,Brent,2021-05-18,Peter Gamble & Co,0,"Empire Road, Perivale, Greenford, Greater London UB6",0,0,pre-owned,575000.0,end_terrace,0,Other,4 bed end terrace house for sale,51.543095,-0.309324,9.0,4,0,0,2021-05-18,575000.0,0,0,0,Upminster,933,0,"[0, 0, 0, 1]"
12502,12502,12502,Brent,2021-05-18,Fairview New Homes - Regency Heights,1,"""Plot 132"" at Lakeside Drive, Park Royal, London NW10",0,0,new,530000.0,flat,0,leasehold,2 bed flat for sale,51.529751,-0.283969,7.0,2,0,0,2021-05-18,530000.0,1,0,1,Park Royal,454,3,"[1, 0, 1, 0]"
12503,12503,12503,Brent,2021-05-18,Robertson Smith & Kempson - Acton,0,"Midland Terrace, London NW10",0,0,pre-owned,575000.0,terraced,0,freehold,3 bed terraced house for sale,51.525874,-0.253453,102.0,3,1,3,2021-05-18,575000.0,1,0,1,North Acton,599,2,"[0, 0, 0, 0]"
12504,12504,12504,Brent,2021-05-18,Portland Estate Agents,1,"Redfern Road, London NW10",0,0,pre-owned,340000.0,flat,0,leasehold,2 bed flat for sale,51.542575,-0.250132,54.0,2,1,1,2021-05-18,340000.0,0,0,1,Harlesden,731,2,"[7, 0, 0, 1]"
12505,12505,12505,Brent,2021-05-18,Richard Bruce,1,"Malvern Road, London NW6",0,0,pre-owned,470000.0,flat,0,share_of_freehold,1 bed flat for sale,51.530276,-0.197835,80.0,1,1,1,2021-05-18,470000.0,0,1,1,Upminster,698,10,"[16, 3, 0, 1]"
12506,12506,12506,Brent,2021-05-18,Marsh & Parsons - Willesden Green,0,"Nevilles Court, Dollis Hill Lane, London NW2",0,0,pre-owned,600000.0,flat,0,share_of_freehold,4 bed flat for sale,51.560288,-0.235741,104.0,4,1,1,2021-05-18,600000.0,1,1,0,Dollis Hill,921,0,"[3, 0, 0, 0]"
12507,12507,12507,Brent,2021-05-18,Harris & Company,0,"All Souls Avenue, London NW10",0,0,pre-owned,1150000.0,Other,0,Other,5 bed property for sale,51.536472,-0.230167,175.0,5,0,0,2021-05-18,1150000.0,1,1,1,Kensal Green,685,3,"[4, 0, 0, 0]"
12508,12508,12508,Brent,2021-05-18,Barratt London - No. 10 Watkin Road,1,"""No.10 Watkin Road"" at Watkin Road, Wembley HA9",0,0,new,399000.0,flat,0,leasehold,1 bed flat for sale,51.560644,-0.275088,50.0,1,1,1,2021-05-18,399000.0,1,0,1,Wembley Park,540,3,"[2, 1, 0, 5]"
12509,12509,12509,Brent,2021-05-17,Hoopers Estate Agents,1,"Mora Road, London NW2",0,0,pre-owned,525000.0,maisonette,0,leasehold,3 bed maisonette for sale,51.558366,-0.223067,84.0,3,0,0,2021-05-17,525000.0,1,0,1,Willesden Green,1013,0,"[2, 1, 0, 1]"
12510,12510,12510,Brent,2021-05-17,Hoopers Estate Agents,0,"Randall Avenue, London NW2",0,0,pre-owned,725000.0,semi_detached,0,Other,4 bed semi-detached house for sale,51.560248,-0.244114,123.0,4,0,0,2021-05-17,750000.0,0,0,1,Neasden,716,1,"[3, 1, 0, 0]"
12511,12511,12511,Brent,2021-05-17,Warwick Estate Agents,1,"Malvern Road, Maida Vale, London NW6",0,0,pre-owned,470000.0,flat,0,freehold,1 bed flat for sale,51.530685,-0.197975,80.0,1,1,1,2021-05-17,470000.0,0,1,1,Upminster,448,11,"[15, 3, 0, 1]"
12512,12512,12512,Brent,2021-05-17,Moving City,0,"Reverence House, Colindale Gardens, London NW9",0,0,pre-owned,370000.0,flat,0,leasehold,1 bed flat for sale,51.593112,-0.24214,54.0,1,1,1,2021-05-17,370000.0,1,0,1,Colindale,894,3,"[5, 2, 0, 2]"
12513,12513,12513,Brent,2021-05-17,Preston Hill Estates,0,"Preston Road, Harrow HA3",0,0,pre-owned,284950.0,flat,0,leasehold,1 bed flat for sale,51.573065,-0.294315,42.0,1,1,1,2021-05-17,300000.0,0,1,0,Preston Road,221,4,"[3, 0, 0, 1]"
12514,12514,12514,Brent,2021-05-17,ML Estates,1,"Gascony Avenue, West Hampstead NW6",0,0,pre-owned,350000.0,flat,0,Other,1 bed flat for sale,51.542163,-0.196601,48.0,1,1,1,2021-05-17,350000.0,0,0,0,Upminster,568,40,"[11, 1, 1, 9]"
12515,12515,12515,Brent,2021-05-17,Aspect,1,"Braemar Avenue, London NW10",0,0,pre-owned,295000.0,flat,0,leasehold,1 bed flat for sale,51.565636,-0.256878,50.0,1,1,1,2021-05-17,289950.0,1,0,1,Neasden,1204,0,"[1, 0, 0, 2]"
12516,12516,12516,Brent,2021-05-15,Knight Frank - Queens Park Sales,0,"Milman Road, London NW6",0,0,pre-owned,4000000.0,terraced,0,Other,7 bed terraced house for sale,51.533977,-0.211818,279.0,7,3,2,2021-05-15,4000000.0,0,0,1,Queen's Park,414,20,"[4, 4, 0, 3]"
12517,12517,12517,Brent,2021-05-15,Barratt London - No. 10 Watkin Road,1,"""No.10 Watkin Road"" at Watkin Road, Wembley HA9",0,0,new,580000.0,flat,0,leasehold,2 bed flat for sale,51.560644,-0.275088,65.0,2,2,1,2021-05-15,580000.0,1,0,1,Wembley Park,540,3,"[2, 1, 0, 5]"
