,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
400,400,400,Camden,2021-05-17,ML Estates,1,"Gascony Avenue, West Hampstead NW6",0,0,pre-owned,350000.0,flat,0,Other,1 bed flat for sale,51.542163,-0.196601,48.0,1,1,1,2021-05-17,350000.0,0,0,0,Upminster,568,40,"[11, 1, 1, 9]"
401,401,401,Camden,2021-05-17,Chancellors - Hampstead,0,"Mulberry Close, Hampstead Village NW3",0,0,pre-owned,950000.0,terraced,0,freehold,1 bed terraced house for sale,51.55483,-0.173858,81.0,1,1,1,2021-05-17,950000.0,1,0,0,Hampstead,307,36,"[19, 2, 3, 0]"
402,402,402,Camden,2021-05-17,Goldschmidt & Howland - Hampstead,0,"Compayne Gardens, South Hampstead, London NW6",0,0,pre-owned,4000000.0,semi_detached,0,freehold,6 bed semi-detached house for sale,51.545241,-0.186254,512.0,6,4,3,2021-05-17,4000000.0,0,1,1,West Hampstead,415,26,"[5, 1, 1, 4]"
403,403,403,Camden,2021-05-17,The Modern House,0,"Lisburne Road, London NW3",0,0,pre-owned,2300000.0,terraced,0,freehold,4 bed terraced house for sale,51.55502,-0.15898,195.0,4,3,0,2021-05-17,2300000.0,1,0,1,Belsize Park,716,16,"[6, 2, 1, 1]"
404,404,404,Camden,2021-05-15,Olivers Town - Kentish Town,1,"Prince Of Wales Road, London NW5",0,0,pre-owned,765000.0,maisonette,0,leasehold,2 bed maisonette for sale,51.546118,-0.14973,84.0,2,1,1,2021-05-15,765000.0,1,0,1,Chalk Farm,349,32,"[8, 4, 1, 5]"
405,405,405,Camden,2021-05-15,Knight Frank - Islington Sales,0,"Bruges Place, London NW1",0,0,pre-owned,550000.0,flat,0,leasehold,1 bed flat for sale,51.541245,-0.137216,44.0,1,1,1,2021-05-15,550000.0,1,0,0,Camden Town,335,63,"[7, 3, 1, 7]"
406,406,406,Camden,2021-05-15,Chancellors - Hampstead,0,"The Panoramic, Pond Street, Hampstead NW3",0,0,pre-owned,925000.0,flat,0,leasehold,2 bed flat for sale,51.553,-0.164,99.0,2,3,1,2021-05-15,975000.0,1,0,0,Belsize Park,536,25,"[10, 3, 1, 1]"
407,407,407,Camden,2021-05-15,Knight Frank - Hampstead Sales,0,"Hampstead High Street, London NW3",0,0,pre-owned,1150000.0,flat,0,Other,2 bed flat for sale,51.556542,-0.178015,99.0,2,2,0,2021-05-15,1150000.0,0,0,1,Hampstead,35,31,"[12, 1, 3, 0]"
408,408,408,Camden,2021-05-14,Benham and Reeves - Hampstead,0,"Rosemont Road, Hampstead, London NW3",0,0,pre-owned,1600000.0,town_house,0,freehold,4 bed town house for sale,51.548982,-0.183365,177.0,4,3,1,2021-05-14,1600000.0,1,0,0,Finchley Road,366,20,"[11, 1, 2, 3]"
409,409,409,Camden,2021-05-14,Fraser & Co - Paddington,0,"154 Belsize Road, London NW6",0,0,pre-owned,675000.0,flat,0,leasehold,2 bed flat for sale,51.540541,-0.185147,70.0,2,2,1,2021-05-14,675000.0,0,0,1,Finchley Road,792,23,"[4, 2, 0, 2]"
410,410,410,Camden,2021-05-14,Dexters - Marylebone,0,"Betterton Street, London WC2H",0,0,pre-owned,2650000.0,flat,0,leasehold,3 bed flat for sale,51.514607,-0.124292,171.0,3,3,2,2021-05-14,2650000.0,0,0,0,Covent Garden,191,434,"[22, 4, 41, 8]"
411,411,411,Camden,2021-05-14,Savills - Hampstead,0,"Haverstock Hill, Hampstead, London NW3",0,0,pre-owned,875000.0,flat,0,leasehold,2 bed flat for sale,51.549551,-0.162731,70.0,2,1,1,2021-05-14,900000.0,0,0,0,Belsize Park,141,21,"[12, 5, 1, 2]"
412,412,412,Camden,2021-05-14,Aston Chase,0,"Quickswood, Primrose Hill, London NW3",0,0,pre-owned,1950000.0,terraced,0,freehold,3 bed terraced house for sale,51.543162,-0.163739,169.0,3,2,2,2021-05-14,1950000.0,1,1,1,Chesham,586,14,"[6, 4, 0, 2]"
413,413,413,Camden,2021-05-14,Aston Chase,0,"Ferncroft Avenue, Hampstead, London NW3",0,0,pre-owned,6650000.0,detached,0,freehold,6 bed detached house for sale,51.559286,-0.192634,515.0,6,4,2,2021-05-14,6650000.0,0,1,1,West Hampstead,1161,4,"[6, 0, 0, 1]"
414,414,414,Camden,2021-05-14,Chancellors - Hampstead,1,"Lithos Road, Hampstead NW3",0,0,pre-owned,475000.0,flat,0,leasehold,2 bed flat for sale,51.548,-0.184,68.0,2,2,1,2021-05-14,500000.0,1,0,0,Finchley Road,410,22,"[7, 1, 2, 4]"
415,415,415,Camden,2021-05-13,Savills - Primrose Hill,1,"Whittlebury Mews West, Primrose Hill, London NW1",0,0,pre-owned,2350000.0,terraced,0,leasehold,4 bed terraced house for sale,51.541606,-0.153259,205.0,4,3,2,2021-05-13,2350000.0,1,1,1,Chalk Farm,396,45,"[5, 3, 1, 4]"
416,416,416,Camden,2021-05-13,Hadleigh Residential,0,"Gilling Court, Belsize Grove, London NW3",0,0,pre-owned,330000.0,studio,0,Other,Studio for sale,51.5485,-0.165391,27.0,0,1,1,2021-05-13,330000.0,0,0,1,Belsize Park,191,19,"[12, 4, 1, 1]"
417,417,417,Camden,2021-05-13,Heathgate,0,"Heath Street, London NW3",0,0,pre-owned,850000.0,flat,0,Other,3 bed flat for sale,51.558811,-0.178387,90.0,3,2,1,2021-05-13,850000.0,1,0,0,Hampstead,203,31,"[6, 0, 3, 0]"
418,418,418,Camden,2021-05-13,Goldschmidt & Howland - Hampstead,0,"Belsize Lane, Belsize Park, London NW3",0,0,pre-owned,2500000.0,detached,0,freehold,2 bed detached house for sale,51.547309,-0.173523,152.0,2,2,2,2021-05-13,2500000.0,0,1,1,Swiss Cottage,429,16,"[16, 1, 2, 4]"
419,419,419,Camden,2021-05-13,Sandfords - Regent's Park,0,"Marylebone Road, London NW1",0,0,pre-owned,4495000.0,flat,0,leasehold,4 bed flat for sale,51.523456,-0.150822,213.0,4,0,0,2021-05-13,4495000.0,0,0,0,Regent's Park,292,58,"[5, 18, 5, 1]"
420,420,420,Camden,2021-05-13,Parkheath - Belsize Park,0,"Fleet Road, Belsize Park NW3",0,0,pre-owned,375000.0,flat,0,Other,1 bed flat for sale,51.553562,-0.161516,42.0,1,1,1,2021-05-13,375000.0,0,0,0,Belsize Park,453,23,"[8, 2, 1, 1]"
421,421,421,Camden,2021-05-13,Knight Frank - Belsize Park Sales,0,"Haverstock Hill, London NW3",0,0,pre-owned,1100000.0,flat,0,Other,3 bed flat for sale,51.5494,-0.162894,105.0,3,2,2,2021-05-13,1100000.0,0,0,0,Belsize Park,140,21,"[11, 5, 1, 1]"
422,422,422,Camden,2021-05-12,Olivers Town - Kentish Town,1,"Leighton Road, Kentish Town NW5",0,0,pre-owned,1325000.0,terraced,0,freehold,3 bed terraced house for sale,51.550852,-0.132388,130.0,3,2,1,2021-05-12,1375000.0,1,0,1,Chesham,473,7,"[11, 3, 1, 3]"
423,423,423,Camden,2021-05-12,The Modern House,0,"Netherhall Gardens, London NW3",0,0,pre-owned,2150000.0,flat,0,share_of_freehold,2 bed flat for sale,51.54886,-0.17884,141.0,2,2,0,2021-05-12,2275000.0,1,1,1,Finchley Road,303,19,"[17, 1, 2, 3]"
424,424,424,Camden,2021-05-12,Savills - Hampstead,0,"Visage Apartments, Winchester Road, London NW3",0,0,pre-owned,870000.0,flat,0,leasehold,2 bed flat for sale,51.54261,-0.172038,85.0,2,2,0,2021-05-12,870000.0,1,1,0,Swiss Cottage,120,6,"[10, 1, 3, 2]"
425,425,425,Camden,2021-05-12,Goldschmidt & Howland - Camden,0,"North Villas, Camden, London NW1",0,0,pre-owned,1799950.0,flat,0,freehold,4 bed flat for sale,51.546597,-0.130572,182.0,4,2,2,2021-05-12,1799950.0,1,0,0,Kentish Town,821,10,"[9, 3, 0, 3]"
426,426,426,Camden,2021-05-12,Woodhouse Estates,0,"Finchley Road, London NW3",0,0,pre-owned,274995.0,studio,0,leasehold,Studio for sale,51.553162,-0.18966,50.0,0,1,0,2021-05-12,294995.0,0,0,0,West Hampstead,675,8,"[5, 2, 0, 2]"
427,427,427,Camden,2021-05-12,Buchanan Rae Wilson,0,"Makepeace Avenue, Highgate, London N6",0,0,pre-owned,799950.0,flat,0,leasehold,3 bed flat for sale,51.565241,-0.14718,85.0,3,1,1,2021-05-12,799950.0,0,0,1,Archway,934,6,"[7, 2, 0, 1]"
428,428,428,Camden,2021-05-12,Knight Frank - St John's Wood Sales,0,"Marys Court, 4 Palgrave Gardens, London NW1",0,0,pre-owned,1500000.0,flat,0,Other,4 bed flat for sale,51.5269,-0.165123,81.0,4,2,1,2021-05-12,1500000.0,1,1,1,Marylebone,687,23,"[13, 0, 1, 2]"
429,429,429,Camden,2021-05-12,Hurford Salvi Carr - Clerkenwell & City Sales,0,"Bedford Court Mansions, Bedford Avenue WC1B",0,0,pre-owned,2200000.0,flat,0,share_of_freehold,3 bed flat for sale,51.517811,-0.129751,145.0,3,2,2,2021-05-12,2200000.0,1,1,1,Tottenham Court Road,193,334,"[41, 10, 16, 8]"
