,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
6400,6400,6400,Southwark,2021-04-19,"Gareth James - Peckham Rye, London",0,"Chadwick Road, Peckham, London SE15",0,0,pre-owned,875000.0,terraced,0,Other,3 bed terraced house for sale,51.467899,-0.072161,93.0,3,1,2,2021-04-19,900000.0,1,0,1,Chesham,2035,33,"[7, 2, 4, 4]"
6401,6401,6401,Southwark,2021-04-19,Chase Evans Elephant & Castle,0,"Hurlock Heights, Elephant Park, Elephant &amp; Castle SE17",0,0,pre-owned,495000.0,studio,0,leasehold,Studio for sale,51.4911575744681,-0.0913010053191489,40.0,0,1,1,2021-04-19,495000.0,1,0,1,Elephant & Castle,732,23,"[9, 6, 0, 5]"
6402,6402,6402,Southwark,2021-04-19,Acorn - London Bridge,0,"St. Saviours Estate, London SE1",0,0,pre-owned,440000.0,flat,0,leasehold,2 bed flat for sale,51.498327,-0.076748,60.0,2,1,1,2021-04-19,450000.0,1,1,0,Chesham,1069,48,"[7, 2, 1, 3]"
6403,6403,6403,Southwark,2021-04-19,No Flies Ltd,1,"Grove Vale, East Dulwich SE22",0,0,pre-owned,325000.0,flat,0,share_of_freehold,1 bed flat for sale,51.461792,-0.076327,47.0,1,1,1,2021-04-19,325000.0,0,0,1,Brixton,2593,24,"[6, 1, 1, 2]"
6404,6404,6404,Southwark,2021-04-19,CBRE,0,"One Tower Bridge, London Bridge SE1",0,0,pre-owned,2000000.0,flat,0,leasehold,3 bed flat for sale,51.504095,-0.076793,103.0,3,3,1,2021-04-19,2000000.0,1,0,0,Chesham,651,75,"[3, 0, 3, 2]"
6405,6405,6405,Southwark,2021-04-17,Acorn - Peckham Rye,0,"Peckham Rye, London SE22",0,0,pre-owned,425000.0,flat,0,leasehold,2 bed flat for sale,51.455532,-0.064254,77.0,2,1,1,2021-04-17,475000.0,0,1,1,New Cross Gate,2427,6,"[4, 2, 0, 0]"
6406,6406,6406,Southwark,2021-04-16,Dexters - London Bridge,0,"Rushworth Street, London SE1",0,0,pre-owned,1450000.0,flat,0,leasehold,3 bed flat for sale,51.501045,-0.101266,139.0,3,2,1,2021-04-16,1450000.0,0,0,0,Southwark,241,65,"[13, 3, 6, 2]"
6407,6407,6407,Southwark,2021-04-16,Knight Frank - Southbank Sales,0,"Tudor House, Duchess Walk, London SE1",0,0,pre-owned,875000.0,flat,0,Other,1 bed flat for sale,51.503577,-0.077224,62.0,1,1,1,2021-04-16,875000.0,1,0,0,Chesham,651,73,"[3, 0, 3, 2]"
6408,6408,6408,Southwark,2021-04-16,Fish Need Water,1,"Peckham Grove, Peckham SE15",0,0,pre-owned,425000.0,flat,0,Other,2 bed flat for sale,51.477901,-0.081818,7.0,2,1,1,2021-04-16,425000.0,0,1,0,Chesham,1768,9,"[11, 3, 1, 0]"
6409,6409,6409,Southwark,2021-04-16,Strike,1,"Mcdowall Road, London SE5",0,0,pre-owned,325000.0,flat,0,share_of_freehold,1 bed flat for sale,51.473328,-0.099452,46.0,1,1,1,2021-04-16,325000.0,0,1,1,Oval,1102,16,"[11, 8, 0, 4]"
