,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
2000,2000,2000,Hammersmith,2021-06-29,Knight Frank - Fulham Sales,0,"Fulham Park Road, Fulham SW6",0,0,pre-owned,5750000.0,detached,0,Other,6 bed detached house for sale,51.4726,-0.2071,382.0,6,4,4,2021-06-29,5750000.0,1,1,1,Putney Bridge,412,24,"[13, 2, 0, 3]"
2001,2001,2001,Hammersmith,2021-06-29,Latymers,1,"Higham House West, Carnwath Road, Fulham SW6",0,0,new,1050000.0,flat,0,Other,2 bed flat for sale,51.465531,-0.195974,77.0,2,2,1,2021-06-29,1050000.0,1,1,1,Parsons Green,929,4,"[6, 0, 0, 0]"
2002,2002,2002,Hammersmith,2021-06-28,Jorgensen Turner,1,"Pennard Road, Shepherd's Bush, London W12",0,0,pre-owned,525000.0,flat,0,share_of_freehold,2 bed flat for sale,51.503989,-0.225428,60.0,2,0,0,2021-06-28,525000.0,0,0,0,Shepherd's Bush (H),189,72,"[6, 2, 5, 6]"
2003,2003,2003,Hammersmith,2021-06-28,Finlay Brewer,1,"Ashchurch Park Villas, Ravenscourt Park, London W12",0,0,pre-owned,550000.0,flat,0,Other,2 bed flat for sale,51.500213,-0.242236,66.0,2,1,1,2021-06-28,550000.0,1,0,1,Stamford Brook,651,17,"[8, 1, 0, 2]"
2004,2004,2004,Hammersmith,2021-06-28,Latymers,1,"Higham House East, Carnwath Road, Fulham SW6",0,0,new,1050000.0,flat,0,Other,2 bed flat for sale,51.465571,-0.19621,82.0,2,2,1,2021-06-28,1050000.0,1,1,1,Parsons Green,918,3,"[5, 0, 0, 0]"
2005,2005,2005,Hammersmith,2021-06-28,The Modern House,0,"St. Elmo Road, London W12",0,0,pre-owned,925000.0,flat,0,leasehold,4 bed flat for sale,51.50616,-0.2461,116.0,4,2,0,2021-06-28,925000.0,1,0,0,Upminster,1214,11,"[6, 2, 0, 4]"
2006,2006,2006,Hammersmith,2021-06-28,Finlay Brewer,0,"Lena Gardens, London W6",0,0,pre-owned,2395000.0,terraced,0,Other,5 bed terraced house for sale,51.498695,-0.223832,231.0,5,3,2,2021-06-28,2395000.0,0,0,1,Goldhawk Road,573,37,"[11, 5, 0, 2]"
2007,2007,2007,Hammersmith,2021-06-28,Latymers,1,"Faulkner House, Tierney Lane, Hammersmith W6",0,0,new,1550000.0,flat,0,Other,2 bed flat for sale,51.487271,-0.225783,108.0,2,3,1,2021-06-28,1550000.0,1,0,0,Hammersmith,625,28,"[4, 2, 2, 2]"
2008,2008,2008,Hammersmith,2021-06-28,Latymers,1,"Faulkner House, Tierney Lane, Hammersmith W6",0,0,new,1000000.0,flat,0,Other,1 bed flat for sale,51.487271,-0.225783,65.0,1,1,1,2021-06-28,1000000.0,1,0,0,Hammersmith,625,28,"[4, 2, 2, 2]"
2009,2009,2009,Hammersmith,2021-06-28,Brik,0,"Ringmer Avenue, London SW6",0,0,pre-owned,2150000.0,terraced,0,Other,4 bed terraced house for sale,51.474502,-0.209323,208.0,4,4,1,2021-06-28,2150000.0,0,0,1,Upminster,602,14,"[13, 0, 0, 1]"
