,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant
9000,9000,Wandsworth,2021-04-28,"Purplebricks, Head Office",1,"Wimbledon Grounds, London SW17",0,1,new,600000.0,flat,0,leasehold,2 bed flat for sale,51.4309254779117,-0.176801457831325,78.0,2,2,1,2021-04-28,600000.0,1,0,1,Tooting Broadway,683,7
9001,9001,Wandsworth,2021-04-28,"Purplebricks, Head Office",1,"Wimbledon Grounds Plough Lane, London SW17",0,1,new,800000.0,flat,0,leasehold,3 bed flat for sale,51.4309254779117,-0.176801457831325,112.0,3,3,1,2021-04-28,800000.0,1,0,1,Tooting Broadway,683,7
9002,9002,Wandsworth,2021-04-28,Tyron Ash,1,"Battersea Power Station, London SW11",0,0,new,1070000.0,flat,0,Other,1 bed flat for sale,51.481822,-0.144398,46452.0,1,1,0,2021-04-28,1070000.0,0,0,0,Chesham,1835,14
9003,9003,Wandsworth,2021-04-28,Chestertons - Wandsworth,0,"Heathfield Road, London SW18",0,0,pre-owned,950000.0,flat,0,share_of_freehold,2 bed flat for sale,51.453426,-0.180957,177.0,2,1,1,2021-04-28,1000000.0,0,1,1,Chesham,1638,2
9004,9004,Wandsworth,2021-04-28,Garton Jones - Chelsea Bridge Wharf,0,"Howard Building, Chelsea Bridge Wharf, London SW11",0,0,pre-owned,725000.0,flat,0,Other,1 bed flat for sale,51.481113,-0.148176,58.0,1,1,1,2021-04-28,725000.0,1,0,0,Sloane Square,1154,14
9005,9005,Wandsworth,2021-04-28,Copperstones Ltd.,0,"Switch House West, Battersea Power Station, London SW8",0,0,pre-owned,899000.0,studio,0,leasehold,Studio for sale,51.481675,-0.144907,48.0,1,1,1,2021-04-28,899000.0,0,0,1,Chesham,1512,13
9006,9006,Wandsworth,2021-04-27,Moveli,1,"Willow Lodge, 195 Cedars Road, London SW4",0,0,pre-owned,500000.0,flat,0,Other,2 bed flat for sale,51.465705,-0.150356,74.0,2,2,1,2021-04-27,550000.0,0,1,1,Clapham Common,889,24
9007,9007,Wandsworth,2021-04-27,O'Sullivan Property Consultants,1,"Battersea Power Station, London SW11",0,0,new,1800000.0,flat,0,Other,2 bed flat for sale,51.481279,-0.146154,100.0,2,2,1,2021-04-27,1800000.0,0,0,1,Chesham,1234,13
9008,9008,Wandsworth,2021-04-27,O'Sullivan Property Consultants,1,"Battersea Power Station, London SW11",0,0,new,1750000.0,flat,0,Other,2 bed flat for sale,51.481695,-0.146233,99.0,2,2,1,2021-04-27,1750000.0,0,0,1,Sloane Square,1205,12
9009,9009,Wandsworth,2021-04-27,Battersea & Nine Elms Estates,1,"Aurora Gardens, London SW11",0,0,new,995000.0,flat,0,Other,2 bed flat for sale,51.48278,-0.145976,71.0,2,2,1,2021-04-27,995000.0,0,0,0,Victoria,1410,11
