,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant
12000,12000,Barnet,2021-02-15,Goldschmidt & Howland - Hampstead,1,"Oakley Gardens, Childs Hill, London NW2",0,0,new,918750.0,flat,0,leasehold,2 bed flat for sale,51.561034,-0.197528,78.0,2,2,1,2021-02-15,918750.0,1,1,1,Golders Green,1074,4
12001,12001,Barnet,2021-02-15,Goldschmidt & Howland - Hampstead,1,"Oakley Gardens, Childs Hill, London NW2",0,0,new,1506750.0,flat,0,leasehold,3 bed flat for sale,51.561034,-0.197528,117.0,3,2,1,2021-02-15,1506750.0,1,1,1,Golders Green,1074,4
12002,12002,Barnet,2021-02-15,Douglas Martin Estate Agents,1,"Brinsdale Park, Brinsdale Road, London NW4",0,0,pre-owned,850000.0,flat,0,Other,3 bed flat for sale,51.590698,-0.217109,172.0,3,2,2,2021-02-15,899950.0,1,1,1,Hendon Central,1045,5
12003,12003,Barnet,2021-02-15,Douglas Martin Estate Agents,0,"High Mount, Station Road, London NW4",0,0,pre-owned,699950.0,town_house,0,Other,3 bed town house for sale,51.578552,-0.239441,124.0,3,3,1,2021-02-15,699950.0,1,1,1,Hendon Central,871,4
12004,12004,Barnet,2021-02-15,Rokstone Estate Agents,0,"Totteridge Common, Totteridge, London N20",0,0,pre-owned,12000000.0,detached,0,freehold,8 bed detached house for sale,51.634003,-0.208437,1814.0,8,8,4,2021-02-15,12000000.0,1,0,1,High Barnet,1950,0
12005,12005,Barnet,2021-02-12,Sothebys Realty UK,1,"Beaufort Park, Colindale, London NW9",0,0,new,834950.0,flat,0,leasehold,3 bed flat for sale,51.595514,-0.24339,97.0,3,3,1,2021-02-12,834950.0,0,0,1,Colindale,549,3
12006,12006,Barnet,2021-02-12,Richard James Estate Agents,0,"Cranberryclose, Mill Hill NW7",0,0,pre-owned,1100000.0,flat,0,leasehold,3 bed flat for sale,51.609716,-0.241549,146.0,3,2,1,2021-02-12,1175000.0,1,1,1,Upminster,1617,4
12007,12007,Barnet,2021-02-12,Ellis & Co - Finchley,1,"Queens Avenue, Finchley N3",0,0,pre-owned,850000.0,terraced,0,freehold,5 bed terraced house for sale,51.602811,-0.179228,195.0,5,4,1,2021-02-12,850000.0,1,1,1,West Finchley,1000,5
12008,12008,Barnet,2021-02-11,Savills - Hampstead,1,"Coachworks Mews, London NW2",0,0,new,2250000.0,mews,0,freehold,3 bed mews house for sale,51.5614614355828,-0.201970582822086,195.0,3,3,2,2021-02-11,2250000.0,1,1,1,Golders Green,1284,6
12009,12009,Barnet,2021-02-11,Osprey,0,"Regents Park Road, London N3",1,0,pre-owned,600000.0,flat,0,share_of_freehold,2 bed flat for sale,51.598242,-0.197749,100.0,2,2,0,2021-02-11,625000.0,1,1,1,Finchley Central,350,7
12010,12010,Barnet,2021-02-10,Douglas Martin Estate Agents,1,"Cedars Close, London NW4",0,0,pre-owned,2195000.0,detached,0,Other,6 bed detached house for sale,51.592361,-0.215766,270.0,6,4,4,2021-02-10,2195000.0,0,0,1,Hendon Central,1343,3
12011,12011,Barnet,2021-02-09,Urban Moves,0,"Bletchley Court, Letchworth Road, Stanmore, Greater London HA7",0,1,pre-owned,140000.0,flat,0,Other,1 bed flat for sale,51.606241,-0.296437,47.0,1,0,0,2021-02-09,140000.0,1,1,0,Canons Park,302,2
12012,12012,Barnet,2021-02-09,Chancellors - Finchley,0,"Dudley Road, Finchley N3",0,0,pre-owned,1000000.0,detached,0,freehold,4 bed detached house for sale,51.59684,-0.18567,186.0,4,1,3,2021-02-09,1200000.0,0,0,0,Finchley Central,599,0
12013,12013,Barnet,2021-02-09,Chancellors - Finchley,0,"Hill Court, Finchley N3",0,0,pre-owned,350000.0,maisonette,0,leasehold,1 bed maisonette for sale,51.59333,-0.190854,54.0,1,0,1,2021-02-09,375000.0,0,0,1,Finchley Central,876,0
12014,12014,Barnet,2021-02-09,Martin Allsuch,0,"Colindale, London NW9",0,0,pre-owned,359000.0,flat,0,leasehold,1 bed flat for sale,51.595954,-0.239507,48.0,1,1,1,2021-02-09,359000.0,1,1,1,Colindale,641,3
12015,12015,Barnet,2021-02-09,Benham and Reeves - Kensington,0,"Croft House, Heritage Avenue, Beaufort Park, Colindale NW9",0,0,pre-owned,1050000.0,flat,0,leasehold,3 bed flat for sale,51.595704,-0.2423,177.0,3,3,1,2021-02-09,1050000.0,1,0,1,Colindale,465,3
12016,12016,Barnet,2021-02-08,William Nelhams and Co,1,"Portman Heights, West Heath Road, Hampstead, London NW3",0,0,pre-owned,950000.0,flat,0,leasehold,2 bed flat for sale,51.563392,-0.196497,117.0,2,0,0,2021-02-08,1050000.0,1,1,0,Golders Green,871,4
12017,12017,Barnet,2021-02-08,Beauchamp Estates,0,"East View, High Barnet, Barnet EN5",0,0,pre-owned,1500000.0,Other,0,freehold,4 bed property for sale,51.657298,-0.198757,279.0,4,3,5,2021-02-08,1750000.0,0,1,1,High Barnet,812,13
12018,12018,Barnet,2021-02-08,TK International,0,"Penthouse Apartment, Portman Heights, Hampstead NW3",0,0,pre-owned,950000.0,flat,0,Other,2 bed flat for sale,51.563766,-0.196165,117.0,2,2,2,2021-02-08,1050000.0,1,1,0,Golders Green,827,4
12019,12019,Barnet,2021-02-07,Savills - Hampstead,0,"Prospect Road, Hampstead, London NW2",0,0,pre-owned,915000.0,end_terrace,0,freehold,3 bed end terrace house for sale,51.561698,-0.198007,115.0,3,1,1,2021-02-07,1000000.0,1,0,1,Golders Green,1060,4
12020,12020,Barnet,2021-02-05,Seven Miles Limited,1,"Millbrook Park, London NW7",0,0,new,625000.0,flat,0,leasehold,2 bed flat for sale,51.608288,-0.209825,71.0,2,2,1,2021-02-05,625000.0,1,1,1,Mill Hill East,41,0
12021,12021,Barnet,2021-02-04,Chancellors - Totteridge,1,"Inverey, Holden Avenue, Woodside Park N12,",0,0,pre-owned,750000.0,flat,0,leasehold,3 bed flat for sale,51.616,-0.183,117.0,3,2,1,2021-02-04,850000.0,0,0,1,Woodside Park,304,14
12022,12022,Barnet,2021-02-02,Chancellors - Finchley,0,"Regency House, Finchley N3",1,0,pre-owned,700000.0,flat,0,share_of_freehold,2 bed flat for sale,51.597,-0.197,98.0,2,2,1,2021-02-02,700000.0,0,0,0,Finchley Central,515,5
12023,12023,Barnet,2021-02-01,Infinity Property Solutions,0,"Edgware Road, London NW9",0,0,pre-owned,480000.0,flat,0,Other,2 bed flat for sale,51.592871,-0.259156,82.0,2,0,0,2021-02-01,510000.0,1,1,0,Colindale,576,2
12024,12024,Barnet,2021-02-01,Arlington Residential,0,"The Bishops Avenue, London N2",0,0,pre-owned,3000000.0,flat,0,leasehold,2 bed flat for sale,51.57935,-0.168799,209.0,2,2,1,2021-02-01,3000000.0,0,1,1,East Finchley,782,0
12025,12025,Barnet,2021-02-01,Brampton Real Estate,1,"Brentwood Lodge, Holmdale Gardens, Hendon NW4",0,0,pre-owned,699950.0,flat,0,leasehold,3 bed flat for sale,51.584195,-0.213228,85.0,3,3,1,2021-02-01,720000.0,0,0,1,Upminster,724,1
12026,12026,Barnet,2021-01-31,"Purplebricks, Head Office",0,"Cornwood Close, Hampstead Garden Suburb N2",0,0,pre-owned,1180000.0,semi_detached,0,freehold,3 bed semi-detached house for sale,51.586052,-0.174323,93.0,3,1,2,2021-01-31,1250000.0,0,0,1,East Finchley,775,0
12027,12027,Barnet,2021-01-29,William Nelhams and Co,0,"Finchley Road, Childs Hill, London NW2",0,0,pre-owned,325000.0,flat,0,leasehold,1 bed flat for sale,51.562205,-0.197092,43.0,1,0,0,2021-01-29,325000.0,1,0,0,Golders Green,937,4
12028,12028,Barnet,2021-01-29,Keller Williams London Bridge,0,"Eastside Road, Golders Green, London NW11",0,0,pre-owned,645000.0,maisonette,0,leasehold,4 bed maisonette for sale,51.586703,-0.202561,95.0,4,1,0,2021-01-29,645000.0,0,0,0,Brent Cross,1158,2
12029,12029,Barnet,2021-01-29,Chancellors - Barnet,0,"High Barnet, Hertfordshire EN5",0,0,pre-owned,325000.0,flat,0,leasehold,2 bed flat for sale,51.65072,-0.210534,52.0,2,0,1,2021-01-29,350000.0,0,1,0,High Barnet,1002,2
12030,12030,Barnet,2021-01-28,Real Estates,0,"Totteridge Common, London N20",0,0,pre-owned,695000.0,flat,0,leasehold,2 bed flat for sale,51.633327,-0.215097,88.0,2,2,1,2021-01-28,695000.0,0,1,1,Upminster,2242,0
12031,12031,Barnet,2021-01-28,Moreland,1,"Cricklewood Lane, London NW2",0,0,pre-owned,900000.0,terraced,0,freehold,5 bed terraced house for sale,51.563125,-0.199216,138.0,5,2,2,2021-01-28,900000.0,0,0,1,Golders Green,963,4
12032,12032,Barnet,2021-01-26,Douglas Martin Estate Agents,1,"Hanbury Close, London NW4",0,0,pre-owned,675000.0,flat,0,freehold,2 bed flat for sale,51.591182,-0.221063,116.0,2,2,1,2021-01-26,699950.0,0,0,1,Hendon Central,907,7
12033,12033,Barnet,2021-01-26,Comfort Properties,0,"1 Moorhen Drive, London NW9",0,0,pre-owned,450000.0,flat,0,leasehold,2 bed flat for sale,51.577112,-0.242526,68.0,2,2,1,2021-01-26,450000.0,1,0,0,Hendon Central,1176,4
