,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
7500,7500,7500,Tower Hamlets,2021-04-29,London Property Zone,1,"Fletcher Street, Tower Hill E1",0,0,pre-owned,650000.0,flat,0,share_of_freehold,2 bed flat for sale,51.510612,-0.06646,79.0,2,2,0,2021-04-29,650000.0,1,1,0,Chesham,505,49,"[12, 4, 3, 6]"
7501,7501,7501,Tower Hamlets,2021-04-29,London Property Zone,1,"Alie Street, Aldgate E1",0,0,new,890000.0,flat,0,leasehold,2 bed flat for sale,51.514581,-0.068828,87.0,2,2,0,2021-04-29,890000.0,1,0,0,Aldgate East,297,115,"[20, 10, 2, 6]"
7502,7502,7502,Tower Hamlets,2021-04-28,Hamptons - Canary Wharf Sales,0,"Elektron Tower, 12 Blackwall Way, London E14",0,0,pre-owned,450000.0,flat,0,leasehold,2 bed flat for sale,51.509789,-0.001774,78.0,2,2,1,2021-04-28,475000.0,1,0,1,East India,84,7,"[3, 0, 0, 1]"
7503,7503,7503,Tower Hamlets,2021-04-28,Stirling Ackroyd - Shoreditch,1,"Harbour Way, London E14",0,0,pre-owned,630000.0,flat,0,leasehold,1 bed flat for sale,51.49923,-0.020037,58.0,1,1,1,2021-04-28,630000.0,1,0,0,South Quay,213,34,"[8, 5, 1, 2]"
7504,7504,7504,Tower Hamlets,2021-04-28,Penham Portfolio Management,1,"Adderley Street, Poplar, London E14",0,0,pre-owned,350000.0,flat,0,leasehold,3 bed flat for sale,51.512457,-0.010089,79.0,3,1,1,2021-04-28,375000.0,1,1,0,All Saints,364,10,"[9, 3, 0, 1]"
7505,7505,7505,Tower Hamlets,2021-04-28,Stirling Ackroyd - Shoreditch,0,"Wadeson Street, London E2",0,0,pre-owned,600000.0,flat,0,leasehold,2 bed flat for sale,51.534628,-0.054228,63.0,2,1,1,2021-04-28,600000.0,1,0,0,Bethnal Green,777,26,"[6, 0, 0, 0]"
7506,7506,7506,Tower Hamlets,2021-04-28,LiFE Residential - Canary Wharf,0,"Arena Tower, 25 Crossharbour Plaza, London E14",0,0,pre-owned,829000.0,flat,0,leasehold,2 bed flat for sale,51.497722,-0.015545,72.0,2,2,1,2021-04-28,829000.0,1,0,0,Crossharbour & London Arena,253,18,"[6, 5, 1, 2]"
7507,7507,7507,Tower Hamlets,2021-04-28,Dexters - Wapping,0,"Asher Way, London E1W",0,0,pre-owned,400000.0,flat,0,share_of_freehold,1 bed flat for sale,51.507489,-0.062793,53.0,1,1,1,2021-04-28,425000.0,0,1,1,Wapping,589,16,"[7, 2, 2, 2]"
7508,7508,7508,Tower Hamlets,2021-04-28,"Purplebricks, Head Office",1,"600 Commercial Road, London E14",0,0,pre-owned,550000.0,flat,0,leasehold,2 bed flat for sale,51.512388,-0.036927,91.0,2,2,1,2021-04-28,550000.0,1,1,0,Limehouse,200,17,"[7, 0, 1, 1]"
7509,7509,7509,Tower Hamlets,2021-04-28,Dexters - Canary Wharf,0,"Forge Square, London E14",0,0,pre-owned,450000.0,flat,0,leasehold,2 bed flat for sale,51.489036,-0.018874,63.0,2,1,1,2021-04-28,470000.0,0,0,0,Mudchute,478,8,"[3, 1, 1, 2]"
7510,7510,7510,Tower Hamlets,2021-04-28,99Home Ltd,1,"6 Millennium Drive, London E14",0,0,pre-owned,400000.0,flat,0,leasehold,1 bed flat for sale,51.493294,-0.004268,61.0,1,1,0,2021-04-28,425000.0,1,1,0,Island Gardens,724,3,"[3, 0, 0, 0]"
7511,7511,7511,Tower Hamlets,2021-04-28,Galliard Homes - Harbour Central,1,"Harbour Central, Lighterman’S Road, London E14",0,0,new,1060000.0,flat,0,leasehold,3 bed flat for sale,51.498831,-0.021099,100.0,3,2,0,2021-04-28,1060000.0,1,1,0,South Quay,292,31,"[8, 4, 1, 2]"
7512,7512,7512,Tower Hamlets,2021-04-28,Galliard Homes - Orchard Wharf,1,"Orchard Wharf, Silvocea Way, London E14",0,0,new,719000.0,flat,0,leasehold,2 bed flat for sale,51.511738,0.001167,78.0,2,1,0,2021-04-28,719000.0,1,0,0,East India,406,5,"[1, 1, 0, 2]"
7513,7513,7513,Tower Hamlets,2021-04-28,Ernest-Brooks International,1,"Cashmere Wharf, London Dock E1W",0,0,new,1280000.0,flat,0,leasehold,2 bed flat for sale,51.509106,-0.065842,82.0,2,2,1,2021-04-28,1280000.0,1,0,1,Tower Gateway,613,32,"[11, 4, 2, 4]"
