,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
400,400,Westminster,2021-10-01,Elegant Homes London,1,"Queensway, London W2",0,0,pre-owned,1495000.0,flat,0,Other,3 bed flat for sale,51.5111,-0.188513,151.0,3,1,1,2021-10-01T14:37:32,1495000.0,0,0,0,Queensway,235,84,"[8, 2, 0, 3]"
401,401,Westminster,2021-10-01,Elegant Homes London,0,"Cambridge Square, London W2",0,0,pre-owned,949950.0,flat,0,Other,2 bed flat for sale,51.516201,-0.169574,76.0,2,2,0,2021-10-01T14:31:14,949950.0,0,0,0,Edgware Road (B),425,100,"[10, 2, 0, 3]"
402,402,Westminster,2021-10-01,Elegant Homes London,0,"Barrow Hill Estate, London NW8",0,0,pre-owned,749950.0,flat,0,Other,3 bed flat for sale,51.532398,-0.168925,83.0,3,1,2,2021-10-01T14:29:47,749950.0,0,0,0,St. John's Wood,407,16,"[7, 2, 1, 1]"
403,403,Westminster,2021-10-01,Elegant Homes London,0,"Transept Street, London NW1",0,0,pre-owned,1250000.0,flat,0,Other,3 bed flat for sale,51.518001,-0.168061,149.0,3,2,2,2021-10-01T14:26:03,1250000.0,0,0,0,Edgware Road (B),238,106,"[18, 4, 1, 6]"
404,404,Westminster,2021-10-01,Elegant Homes London,1,"Edgware Road, London W2",0,0,pre-owned,599950.0,flat,0,Other,2 bed flat for sale,51.5153,-0.165288,57.0,2,1,1,2021-10-01T14:24:48,599950.0,0,0,0,Edgware Road (B),501,87,"[12, 1, 1, 6]"
405,405,Westminster,2021-10-01,Knight Frank - Notting Hill Sales,0,"Sutherland Place, Notting Hill, London W2",0,0,pre-owned,4950000.0,terraced,0,Other,4 bed terraced house for sale,51.5164,-0.196968,227.0,4,3,2,2021-10-01T14:24:47,4950000.0,1,0,1,Westbourne Park,467,52,"[14, 5, 0, 3]"
406,406,Westminster,2021-10-01,Elegant Homes London,0,"Westbourne Street, London W2",0,0,pre-owned,1200000.0,flat,0,Other,2 bed flat for sale,51.511798,-0.175514,76.0,2,1,1,2021-10-01T14:23:17,1200000.0,0,0,1,Lancaster Gate,46,38,"[1, 1, 0, 0]"
407,407,Westminster,2021-10-01,Elegant Homes London,0,"Warwick Crescent, London W2",0,0,pre-owned,749950.0,flat,0,Other,3 bed flat for sale,51.52,-0.183834,77.0,3,1,1,2021-10-01T14:21:57,749950.0,0,0,0,Chesham,325,38,"[6, 4, 4, 2]"
408,408,Westminster,2021-10-01,Elegant Homes London,0,"St Johns Wood Road, London NW8",0,0,pre-owned,980000.0,flat,0,Other,2 bed flat for sale,51.5279,-0.171986,85.0,2,1,1,2021-10-01T14:18:18,980000.0,1,0,0,St. John's Wood,797,17,"[8, 0, 2, 1]"
409,409,Westminster,2021-10-01,Elegant Homes London,0,"4-5 Hyde Park Place, London W2",0,0,pre-owned,1495000.0,flat,0,Other,3 bed flat for sale,51.5125,-0.163956,88.0,3,2,1,2021-10-01T14:17:02,1495000.0,1,0,0,Marble Arch,339,59,"[7, 0, 1, 4]"
410,410,Westminster,2021-10-01,Elegant Homes London,1,"Finchley Road, London NW8",0,0,pre-owned,449950.0,flat,0,Other,1 bed flat for sale,51.536998,-0.17595,31.0,1,1,1,2021-10-01T14:15:37,449950.0,0,0,0,St. John's Wood,250,15,"[11, 2, 0, 1]"
411,411,Westminster,2021-10-01,Elegant Homes London,1,"Stourcliffe Street, London W1H",0,0,pre-owned,749999.0,flat,0,Other,2 bed flat for sale,51.515201,-0.163847,66.0,2,2,1,2021-10-01T14:15:34,749999.0,0,0,0,Marble Arch,437,81,"[10, 0, 1, 5]"
412,412,Westminster,2021-10-01,Foxtons - Notting Hill,0,"Craven Hill Gardens, Bayswater, London W2",0,0,pre-owned,1100000.0,flat,0,Other,1 bed flat for sale,51.512938,-0.182497,72.0,1,1,1,2021-10-01T14:14:15,1100000.0,0,0,1,Chesham,572,72,"[4, 4, 1, 4]"
413,413,Westminster,2021-10-01,Elegant Homes London,1,"York Street, London W1H",0,0,pre-owned,2050000.0,flat,0,Other,3 bed flat for sale,51.519699,-0.162227,123.0,3,3,1,2021-10-01T14:14:14,2050000.0,0,0,0,Marylebone,381,103,"[13, 3, 1, 3]"
414,414,Westminster,2021-10-01,JLL - City,0,"Strand, London WC2R",0,0,pre-owned,2950000.0,flat,0,leasehold,3 bed flat for sale,51.512003,-0.114882,119.0,3,2,1,2021-10-01T14:11:42,2950000.0,1,0,1,Temple,101,116,"[10, 2, 9, 0]"
415,415,Westminster,2021-10-01,Elegant Homes London,0,"Cabbell Street, London NW1",0,0,pre-owned,2495000.0,flat,0,Other,4 bed flat for sale,51.518901,-0.168025,207.0,4,3,2,2021-10-01T14:10:36,2495000.0,0,0,0,Edgware Road (B),149,111,"[18, 4, 0, 6]"
416,416,Westminster,2021-10-01,Elegant Homes London,1,"Norfolk Crescent, London W2",0,0,pre-owned,2750000.0,semi_detached,0,Other,6 bed semi-detached house for sale,51.5153,-0.166729,170.0,6,4,1,2021-10-01T14:09:20,2750000.0,1,0,1,Edgware Road (B),493,85,"[12, 1, 1, 5]"
417,417,Westminster,2021-10-01,Napier Watt,1,"Place, Great Portland Street, Marylebone W1W",0,0,new,1515000.0,flat,0,leasehold,1 bed flat for sale,51.522182,-0.143477,49.0,1,1,1,2021-10-01T14:04:12,1440000.0,0,0,0,Great Portland Street,164,119,"[7, 27, 2, 2]"
418,418,Westminster,2021-10-01,Braithwait - Little Venice,0,"Abercorn Place, London NW8",0,0,pre-owned,3295000.0,terraced,0,freehold,5 bed terraced house for sale,51.532512,-0.180972,232.0,5,3,1,2021-10-01T11:38:18,3295000.0,1,1,1,Maida Vale,262,10,"[7, 4, 2, 0]"
419,419,Westminster,2021-10-01,Berkshire Hathaway HomeServices Kay & Co,0,"Hyde Park Gardens, Hyde Park W2",0,0,pre-owned,7800000.0,flat,0,share_of_freehold,4 bed flat for sale,51.512755,-0.169986,279.0,4,3,2,2021-10-01T08:45:26,7800000.0,1,0,1,Lancaster Gate,352,66,"[6, 1, 0, 1]"
420,420,Westminster,2021-10-01,Absolute Property,0,"Prince Albert Road, London NW8",0,0,pre-owned,1599950.0,flat,0,leasehold,3 bed flat for sale,51.53413,-0.165182,108.0,3,1,1,2021-10-01T08:40:27,1999950.0,1,0,1,St. John's Wood,660,13,"[6, 0, 0, 1]"
421,421,Westminster,2021-10-01,Chancellors - Notting Hill,0,"St Michaels Street, Westminster W2",0,0,pre-owned,1575000.0,terraced,0,freehold,2 bed terraced house for sale,51.517544,-0.171314,97.0,2,2,2,2021-10-01T07:27:42,1625000.0,0,0,1,Chesham,315,84,"[11, 3, 0, 2]"
422,422,Westminster,2021-09-30,Cluttons - Hyde Park,0,"Coniston Court, Kendal Street, London W2",0,0,pre-owned,780000.0,flat,0,leasehold,1 bed flat for sale,51.51486,-0.166303,45.0,1,1,1,2021-09-30T20:52:50,780000.0,0,1,0,Edgware Road (B),612,80,"[11, 1, 1, 6]"
423,423,Westminster,2021-09-30,Cluttons - Hyde Park,0,"Portsea Place, London W2",0,0,pre-owned,3250000.0,end_terrace,0,freehold,4 bed end terrace house for sale,51.515183,-0.164575,198.0,4,3,2,2021-09-30T20:52:15,3250000.0,1,1,1,Chesham,416,86,"[10, 1, 1, 6]"
424,424,Westminster,2021-09-30,Chestertons - Hyde Park,0,"Connaught Place, Hyde Park, London W2",0,0,pre-owned,1800000.0,flat,0,leasehold,1 bed flat for sale,51.513368,-0.161766,82.0,1,1,1,2021-09-30T20:25:37,1800000.0,0,0,0,Marble Arch,232,68,"[7, 0, 1, 5]"
425,425,Westminster,2021-09-30,Berkshire Hathaway HomeServices Kay & Co,1,"Chiltern Street, Marylebone W1U",0,0,pre-owned,700000.0,flat,0,leasehold,2 bed flat for sale,51.521467,-0.156059,48.0,2,1,1,2021-09-30T20:20:13,740000.0,0,0,0,Baker Street,190,106,"[20, 12, 4, 2]"
426,426,Westminster,2021-09-30,Daniel Daggers Real Estate,0,"King Street, London SW1Y",0,0,pre-owned,8950000.0,maisonette,0,share_of_freehold,3 bed maisonette for sale,51.506857,-0.136681,271.0,3,3,2,2021-09-30T20:20:09,8950000.0,0,1,1,Picadilly Circus,439,183,"[2, 0, 19, 5]"
427,427,Westminster,2021-09-30,Jonathan Arron Residential,0,"Leinster Mews, Bayswater, London W2",0,0,pre-owned,3000000.0,mews,0,freehold,4 bed mews house for sale,51.511874,-0.181901,226.0,4,2,2,2021-09-30T20:06:23,3000000.0,1,0,0,Queensway,495,68,"[4, 3, 0, 3]"
428,428,Westminster,2021-09-30,Vickers and Co,0,"Randolph Avenue, Little Venice, London W9",0,0,pre-owned,1050000.0,flat,0,Other,4 bed flat for sale,51.529032,-0.185399,107.0,4,0,0,2021-09-30T19:12:01,1050000.0,0,0,1,Maida Vale,105,15,"[6, 3, 2, 0]"
429,429,Westminster,2021-09-30,Napier Watt,1,"Place, Great Portland Street, Marylebone W1W",0,0,new,2760000.0,flat,0,leasehold,2 bed flat for sale,51.522182,-0.143477,86.0,2,2,1,2021-09-30T16:53:13,2625000.0,0,0,0,Great Portland Street,164,119,"[7, 27, 2, 2]"
