,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
900,900,Westminster,2021-08-27,Garrison Estates,1,"Union Lofts, Grand Union Canal, Maida Vale W9",0,0,new,500000.0,flat,0,Other,1 bed flat for sale,51.522687,-0.193781,35.0,1,1,1,2021-08-27T10:18:29,475000.0,1,1,1,Royal Oak,394,21,"[11, 5, 1, 1]"
901,901,Westminster,2021-08-27,Foxtons - Pimlico & Westminster,0,"Buckingham Gate, St James's, London SW1E",0,0,pre-owned,885000.0,flat,0,Other,1 bed flat for sale,51.49907,-0.138188,50.0,1,1,1,2021-08-27T10:16:56,885000.0,1,0,0,St. James's Park,246,72,"[8, 1, 7, 2]"
902,902,Westminster,2021-08-27,Knight Frank - Hyde Park Sales,0,"6 Radnor Place, Hyde Park, London W2",0,0,pre-owned,1650000.0,flat,0,Other,3 bed flat for sale,51.515491,-0.170451,133.0,3,3,1,2021-08-27T09:27:30,1650000.0,0,0,0,Chesham,391,92,"[7, 1, 0, 3]"
903,903,Westminster,2021-08-27,Knight Frank - St John's Wood Sales,0,"Springfield Road, St John's Wood, London NW8",0,0,pre-owned,10000000.0,detached,0,Other,6 bed detached house for sale,51.5389,-0.1802,532.0,6,3,2,2021-08-27T09:25:10,10950000.0,0,1,1,Chesham,695,18,"[7, 0, 1, 1]"
904,904,Westminster,2021-08-27,Greater London Properties,0,"Radnor Place, Hyde Park W2",0,0,pre-owned,1650000.0,flat,0,leasehold,3 bed flat for sale,51.51539,-0.170865,135.0,3,3,1,2021-08-27T09:19:03,1650000.0,0,0,0,Paddington,367,89,"[6, 1, 0, 2]"
905,905,Westminster,2021-08-27,Chancellors - St John's Wood,0,"Abercorn Mansions, St Johns Wood NW8",0,0,pre-owned,750000.0,flat,0,share_of_freehold,2 bed flat for sale,51.532673,-0.180833,62.0,2,2,1,2021-08-27T09:06:39,795000.0,0,0,1,Maida Vale,273,13,"[8, 4, 0, 0]"
906,906,Westminster,2021-08-27,Aston Chase,0,"Clifton Gardens, London W9",0,0,pre-owned,1475000.0,flat,0,share_of_freehold,1 bed flat for sale,51.524143,-0.183132,78.0,1,1,1,2021-08-27T08:25:48,1575000.0,1,1,1,Warwick Avenue,80,26,"[6, 1, 5, 0]"
907,907,Westminster,2021-08-26,Harrods Estates,0,"Park Lane, Mayfair, London W1K",0,0,pre-owned,1699995.0,flat,0,leasehold,1 bed flat for sale,51.50783,-0.152694,64.0,1,1,1,2021-08-26T22:04:16,1799995.0,0,1,0,Hyde Park Corner,592,58,"[1, 0, 1, 0]"
908,908,Westminster,2021-08-26,Sothebys Realty UK,0,"Moreton Terrace, London SW1V",0,0,pre-owned,3200000.0,terraced,0,freehold,5 bed terraced house for sale,51.489101,-0.138053,235.0,5,4,2,2021-08-26T21:44:29,3200000.0,1,0,1,Pimlico,444,47,"[13, 4, 0, 4]"
909,909,Westminster,2021-08-26,Chestertons - Hyde Park,0,"Sheldon Square, Paddington Basin, London W2",0,0,pre-owned,950000.0,flat,0,leasehold,2 bed flat for sale,51.519232,-0.179129,80.0,2,2,1,2021-08-26T20:19:54,970000.0,1,0,1,Paddington,432,57,"[6, 2, 2, 1]"
