,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
18200,18200,18200,Waltham Forest,2021-06-30,Pioneer Property Group,1,"Walthamstow, London E17",0,0,new,483000.0,flat,0,leasehold,2 bed flat for sale,51.5887362009346,-0.0335723691588785,66.0,2,2,1,2021-06-30,483000.0,1,0,1,Blackhorse Road,517,9,"[6, 0, 0, 2]"
18201,18201,18201,Waltham Forest,2021-06-30,Pioneer Property Group,1,"Walthamstow, London E17",0,0,new,401000.0,flat,0,leasehold,1 bed flat for sale,51.5887362009346,-0.0335723691588785,52.0,1,1,1,2021-06-30,401000.0,1,0,1,Blackhorse Road,517,9,"[6, 0, 0, 2]"
18202,18202,18202,Waltham Forest,2021-06-30,The Stow Brothers - E17,0,"Maynard Road, London E17",0,0,pre-owned,675000.0,terraced,0,leasehold,2 bed terraced house for sale,51.581657,-0.005258,21.0,2,1,1,2021-06-30,675000.0,1,0,1,Walthamstow Central,934,14,"[7, 5, 0, 0]"
18203,18203,18203,Waltham Forest,2021-06-30,The Stow Brothers E4,0,"Lyndhurst Road, London E4",0,0,pre-owned,499995.0,Other,0,leasehold,3 bed property for sale,51.603389,-0.003688,93.0,3,1,2,2021-06-30,499995.0,1,0,1,Chesham,2216,16,"[6, 0, 0, 5]"
18204,18204,18204,Waltham Forest,2021-06-30,The Stow Brothers E4,0,"Whitehall Gardens, London E4",0,0,pre-owned,600000.0,terraced,0,Other,4 bed terraced house for sale,51.627456,0.007242,125.0,4,2,2,2021-06-30,600000.0,1,0,1,Chesham,2337,6,"[6, 1, 0, 1]"
18205,18205,18205,Waltham Forest,2021-06-30,Allen Davies,0,"St Helens Place, London, Leyton E10",0,0,pre-owned,350000.0,flat,0,leasehold,2 bed flat for sale,51.570542,-0.032447,71.0,2,1,1,2021-06-30,350000.0,0,1,1,Walthamstow Central,2002,5,"[4, 1, 0, 3]"
18206,18206,18206,Waltham Forest,2021-06-30,Peabody,1,"Lea Bridge Road, London E10",0,1,new,130000.0,flat,0,leasehold,3 bed flat for sale,51.566766,-0.03435,99.0,3,2,0,2021-06-30,130000.0,1,0,1,Chesham,1989,2,"[1, 1, 0, 2]"
18207,18207,18207,Waltham Forest,2021-06-29,The Stow Brothers - E17,0,"Byron Road, London E17",0,0,pre-owned,550000.0,end_terrace,0,Other,2 bed end terrace house for sale,51.588096,-0.017495,16.0,2,1,2,2021-06-29,550000.0,1,0,1,Walthamstow Central,589,25,"[5, 0, 2, 2]"
18208,18208,18208,Waltham Forest,2021-06-29,The Stow Brothers E4,0,"Heathcote Grove, London E4",0,0,pre-owned,315000.0,flat,0,leasehold,2 bed flat for sale,51.624599,-0.005611,57.0,2,1,1,2021-06-29,315000.0,0,1,1,Woodford,2766,0,"[1, 2, 0, 0]"
18209,18209,18209,Waltham Forest,2021-06-29,The Stow Brothers - E17,0,"Warwick Terrace, Lea Bridge Road, London E17",0,0,pre-owned,275000.0,flat,0,leasehold,1 bed flat for sale,51.580577,-0.002319,13.0,1,1,1,2021-06-29,275000.0,1,0,0,Chesham,1228,10,"[7, 4, 0, 0]"
