,level_0,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
3900,3900,3900,Kensington and Chelsea,2021-05-19,Tedworth Property,0,"Astell Street, Chelsea, London SW3",0,0,pre-owned,3500000.0,detached,0,freehold,4 bed detached house for sale,51.490209,-0.167854,151.0,4,2,2,2021-05-19,3500000.0,0,1,1,South Kensington,635,65,"[11, 10, 3, 3]"
3901,3901,3901,Kensington and Chelsea,2021-05-19,Savills - Kensington,0,"Earls Court Road, London W8",0,0,pre-owned,1195000.0,maisonette,0,leasehold,2 bed maisonette for sale,51.497582,-0.197453,106.0,2,1,1,2021-05-19,1195000.0,1,0,0,Chesham,478,47,"[6, 8, 1, 3]"
3902,3902,3902,Kensington and Chelsea,2021-05-19,Tedworth Property,0,"Queen's Gate, South Kensington SW7",0,0,pre-owned,3250000.0,flat,0,leasehold,2 bed flat for sale,51.500662,-0.180504,141.0,2,2,1,2021-05-19,3250000.0,1,0,0,Gloucester Road,705,24,"[7, 1, 3, 1]"
3903,3903,3903,Kensington and Chelsea,2021-05-19,Knight Frank - Notting Hill Sales,0,"Clanricarde Gardens, London W2",0,0,pre-owned,1150000.0,flat,0,Other,2 bed flat for sale,51.511455,-0.193621,118.0,2,2,1,2021-05-19,1150000.0,0,0,0,Notting Hill Gate,333,110,"[16, 2, 3, 6]"
3904,3904,3904,Kensington and Chelsea,2021-05-19,Marsh & Parsons - Earls Court,0,"Hogarth Road, London SW5",0,0,pre-owned,695000.0,flat,0,share_of_freehold,2 bed flat for sale,51.493419,-0.192245,60.0,2,2,1,2021-05-19,695000.0,0,0,0,Earl's Court,395,51,"[9, 9, 0, 2]"
3905,3905,3905,Kensington and Chelsea,2021-05-19,Marsh & Parsons - Earls Court,0,"Redcliffe Gardens, London SW10",0,0,pre-owned,500000.0,flat,0,leasehold,1 bed flat for sale,51.485073,-0.184972,46.0,1,1,1,2021-05-19,500000.0,0,0,1,Chesham,753,43,"[8, 7, 3, 0]"
3906,3906,3906,Kensington and Chelsea,2021-05-18,Panther International Properties,0,"London, Kensington SW7",0,0,pre-owned,65000000.0,block_of_flats,0,freehold,Block of flats for sale,51.493879,-0.185902,1858.0,0,0,4,2021-05-18,65000000.0,1,1,1,Gloucester Road,284,60,"[16, 9, 1, 4]"
3907,3907,3907,Kensington and Chelsea,2021-05-18,Panther International Properties,0,"London, Kensington SW7",0,0,pre-owned,65000000.0,block_of_flats,0,freehold,Block of flats for sale,51.493879,-0.185902,1858.0,0,0,4,2021-05-18,65000000.0,1,0,0,Gloucester Road,284,60,"[16, 9, 1, 4]"
3908,3908,3908,Kensington and Chelsea,2021-05-18,White Estates Ltd,0,"Sloane Avenue, Chelsea, London SW3",0,0,pre-owned,499000.0,flat,0,Other,1 bed flat for sale,51.492789,-0.16699,36.0,1,1,1,2021-05-18,499000.0,0,0,0,South Kensington,504,59,"[10, 7, 0, 2]"
3909,3909,3909,Kensington and Chelsea,2021-05-18,Knight Frank - Chelsea Sales,0,"Elm Park Gardens, Chelsea, London SW10",0,0,pre-owned,895000.0,flat,0,Other,1 bed flat for sale,51.4869,-0.176,49.0,1,1,1,2021-05-18,895000.0,0,0,1,Chesham,772,62,"[14, 7, 2, 1]"
3910,3910,3910,Kensington and Chelsea,2021-05-18,Warwick Estate Agents,0,"Brewster Gardens, North Kensington, London W10",0,0,pre-owned,325000.0,flat,0,Other,1 bed flat for sale,51.52016,-0.226111,36.0,1,1,1,2021-05-18,325000.0,0,0,1,White City,787,3,"[10, 2, 1, 0]"
3911,3911,3911,Kensington and Chelsea,2021-05-18,Malverns,0,"Malvern Court, South Kensington, London SW7",0,0,pre-owned,2750000.0,flat,0,Other,3 bed flat for sale,51.493646,-0.173191,135.0,3,2,1,2021-05-18,2750000.0,0,0,1,South Kensington,218,77,"[12, 6, 1, 0]"
3912,3912,3912,Kensington and Chelsea,2021-05-18,Chestertons - Notting Hill,0,"Ladbroke Grove, North Kensington, London W10",0,0,pre-owned,575000.0,flat,0,leasehold,2 bed flat for sale,51.52103,-0.212441,47.0,2,1,1,2021-05-18,600000.0,0,0,0,Ladbroke Grove,402,29,"[20, 4, 2, 3]"
3913,3913,3913,Kensington and Chelsea,2021-05-18,Nested Ltd,1,"The Knightsbridge, London SW7",0,0,pre-owned,1895000.0,flat,0,leasehold,1 bed flat for sale,51.501396,-0.163876,59.0,1,1,1,2021-05-18,1895000.0,0,1,0,Knightsbridge,183,60,"[2, 1, 0, 1]"
3914,3914,3914,Kensington and Chelsea,2021-05-18,Nested Ltd,1,"Pier House, Cheyne Walk, Chelsea SW3",0,0,pre-owned,1000000.0,flat,0,share_of_freehold,2 bed flat for sale,51.484261,-0.168194,76.0,2,1,1,2021-05-18,1000000.0,0,1,0,Chesham,1084,33,"[9, 6, 4, 2]"
3915,3915,3915,Kensington and Chelsea,2021-05-18,Hamptons - Chelsea Sales,0,"Kerrier House, 41 Stadium Street, London SW10",0,0,pre-owned,750000.0,flat,0,leasehold,2 bed flat for sale,51.478988,-0.180363,77.0,2,1,1,2021-05-18,750000.0,0,1,1,Fulham Broadway,1050,23,"[9, 3, 1, 0]"
3916,3916,3916,Kensington and Chelsea,2021-05-18,DC Derata Property,0,"Kings Road, London SW3",0,0,pre-owned,1950000.0,flat,0,leasehold,3 bed flat for sale,51.483904,-0.176432,120.0,3,2,1,2021-05-18,1950000.0,1,1,0,Chesham,1227,51,"[15, 4, 3, 1]"
3917,3917,3917,Kensington and Chelsea,2021-05-18,The Modern House,0,"Campden Hill Road, London W8",0,0,pre-owned,1690000.0,terraced,0,share_of_freehold,2 bed terraced house for sale,51.50748,-0.19914,74.0,2,3,0,2021-05-18,1790000.0,1,0,0,Notting Hill Gate,295,40,"[10, 2, 3, 2]"
