,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
1237,1237,Westminster,2021-07-15,Knight Frank - Notting Hill Sales,0,"Westbourne Park Villas, Notting Hill, London W2",0,0,pre-owned,2850000.0,semi_detached,0,Other,4 bed semi-detached house for sale,51.519,-0.1933,208.0,4,2,3,2021-07-15T11:37:53,2950000.0,0,1,1,Royal Oak,256,52,"[16, 5, 1, 6]"
1238,1238,Westminster,2021-07-15,Lets Talk Property,0,"Sutherland Avenue, Maida Vale, London W9",0,0,pre-owned,650000.0,flat,0,leasehold,2 bed flat for sale,51.523806,-0.191608,59.0,2,1,1,2021-07-15T11:29:35,650000.0,0,0,0,Chesham,475,25,"[12, 5, 2, 0]"
1239,1239,Westminster,2021-07-15,Knight Frank - Belgravia Sales,0,"Chester Square, Belgravia, London SW1W",0,0,pre-owned,12950000.0,terraced,0,Other,5 bed terraced house for sale,51.49594,-0.14903,436.0,5,5,4,2021-07-15T11:23:06,14500000.0,1,1,1,Victoria,344,66,"[6, 3, 4, 2]"
1240,1240,Westminster,2021-07-14,Winkworth - Notting Hill,0,"Hatherley Court, Hatherley Grove W2",0,0,pre-owned,595000.0,flat,0,leasehold,2 bed flat for sale,51.516361,-0.190025,62.0,2,1,1,2021-07-14T20:44:13,595000.0,0,0,0,Royal Oak,398,74,"[10, 5, 1, 6]"
1241,1241,Westminster,2021-07-14,Waterfronts,1,Millbank Quarter Westminster SW1P,0,0,new,2200000.0,flat,0,Other,2 bed flat for sale,51.4973381170213,-0.127991627659574,79.0,2,0,0,2021-07-14T19:23:56,2200000.0,0,1,0,Westminster,455,34,"[10, 3, 2, 0]"
1242,1242,Westminster,2021-07-14,Outlet Residential Ltd,1,"Hanson Street, Fitzrovia, London W1W",0,0,pre-owned,575000.0,studio,0,Other,Studio for sale,51.519941,-0.14063,46.0,1,0,0,2021-07-14T19:21:40,615000.0,0,0,1,Chesham,457,193,"[12, 19, 2, 6]"
1243,1243,Westminster,2021-07-14,Mansion London Limited,0,"Baker Street, Marylebone, London W1U",0,0,pre-owned,850000.0,flat,0,Other,1 bed flat for sale,51.520552,-0.156561,37.0,1,1,1,2021-07-14T18:42:10,850000.0,1,0,0,Baker Street,221,117,"[19, 11, 4, 2]"
1244,1244,Westminster,2021-07-14,Mansion London Limited,0,"Baker Street, Marylebone Village, London W1U",0,0,pre-owned,2150000.0,flat,0,Other,2 bed flat for sale,51.520552,-0.156561,88.0,2,2,1,2021-07-14T18:31:26,2150000.0,1,0,0,Baker Street,221,117,"[19, 11, 4, 2]"
1245,1245,Westminster,2021-07-14,Mansion London Limited,0,"Penthouse, Baker Street, London W1U",0,0,pre-owned,4750000.0,flat,0,Other,3 bed flat for sale,51.520552,-0.156561,184.0,3,3,2,2021-07-14T18:08:21,4750000.0,1,0,0,Baker Street,221,117,"[19, 11, 4, 2]"
1246,1246,Westminster,2021-07-14,Mansion London Limited,0,"Marylebone Square, 79 Marylebone Lane, London W1U",0,0,pre-owned,15230000.0,flat,0,Other,3 bed flat for sale,51.518069,-0.151329,279.0,3,4,1,2021-07-14,15230000.0,1,1,1,Bond Street,385,161,"[9, 20, 2, 3]"
1247,1247,Westminster,2021-07-14,Chancellors - St John's Wood,0,"Dibdin House, Maida Vale W9",0,0,pre-owned,450000.0,flat,0,leasehold,2 bed flat for sale,51.533928,-0.188403,61.0,2,1,1,2021-07-14T14:22:50,450000.0,0,0,1,Maida Vale,385,30,"[6, 3, 0, 3]"
1248,1248,Westminster,2021-07-14,Foxtons - Notting Hill,0,"Clanricarde Gardens, Notting Hill, London W2",0,0,pre-owned,1995000.0,flat,0,Other,3 bed flat for sale,51.509687,-0.193188,178.0,3,2,2,2021-07-14T14:20:01,1995000.0,1,0,1,Notting Hill Gate,186,82,"[13, 2, 3, 3]"
1249,1249,Westminster,2021-07-14,Plaza Estates,0,"Sherwood Court, Bryanston Place, London W1H",0,0,pre-owned,1300000.0,flat,0,Other,3 bed flat for sale,51.518116,-0.163477,94.0,3,1,1,2021-07-14T10:52:41,1300000.0,0,0,0,Chesham,367,118,"[15, 3, 2, 5]"
1250,1250,Westminster,2021-07-14,Beauchamp Estates St. Johns Wood,0,"St John's Wood Court, St John's Wood NW8",0,0,pre-owned,1100000.0,flat,0,leasehold,2 bed flat for sale,51.527533,-0.173406,96.0,2,2,0,2021-07-14T10:42:23,1100000.0,0,0,0,St. John's Wood,713,18,"[8, 0, 2, 1]"
1251,1251,Westminster,2021-07-14,MyLondonHome - Westminster & Pimlico,0,"Horsley Court, Regency Apartments, Montaigne Close, Westminster SW1P",0,0,pre-owned,1000000.0,flat,0,leasehold,2 bed flat for sale,51.492015,-0.131536,76.0,2,2,0,2021-07-14T09:35:16,1150000.0,1,1,0,Pimlico,299,29,"[16, 4, 2, 2]"
1252,1252,Westminster,2021-07-14,Knight Frank - Hyde Park Sales,0,"Porchester Place, London W2",0,0,pre-owned,4850000.0,terraced,0,Other,5 bed terraced house for sale,51.5156,-0.166,279.0,5,5,2,2021-07-14T09:26:24,4850000.0,1,0,1,Edgware Road (B),536,89,"[13, 1, 1, 6]"
1253,1253,Westminster,2021-07-14,Property Inside London,0,"Dawson House, Circus West, Battersea Power Station, London SW11",0,0,pre-owned,1075000.0,flat,0,leasehold,2 bed flat for sale,51.482192,-0.146138,82.0,2,2,1,2021-07-14T07:43:48,1075000.0,1,0,1,Chesham,1190,11,"[2, 1, 2, 3]"
1254,1254,Westminster,2021-07-13,Cluttons - Hyde Park,0,"Porchester Place, London W2",0,0,pre-owned,775000.0,flat,0,leasehold,1 bed flat for sale,51.515294,-0.166473,60.0,1,1,1,2021-07-13T20:52:38,775000.0,0,1,0,Edgware Road (B),485,87,"[12, 1, 1, 6]"
1255,1255,Westminster,2021-07-13,Cluttons - Hyde Park,0,"Porchester Place, London W2",0,0,pre-owned,1100000.0,flat,0,leasehold,2 bed flat for sale,51.515294,-0.166473,79.0,2,1,1,2021-07-13T20:52:38,1100000.0,0,1,0,Edgware Road (B),485,87,"[12, 1, 1, 6]"
1256,1256,Westminster,2021-07-13,Hamptons - Hyde Park & Bayswater Sales,0,"Parker House, 5 Cuthbert Street, London W2",0,0,pre-owned,750000.0,flat,0,leasehold,2 bed flat for sale,51.52278,-0.17471,61.0,2,2,1,2021-07-13T19:50:17,750000.0,0,0,0,Edgware Road (C),385,42,"[9, 1, 1, 3]"
1257,1257,Westminster,2021-07-13,"Purplebricks, Head Office",1,"Boundary Road, London NW8",0,0,pre-owned,535000.0,flat,0,leasehold,4 bed flat for sale,51.539149,-0.182531,78.0,4,1,1,2021-07-13T18:28:24,550000.0,1,1,1,Chesham,911,19,"[7, 1, 1, 2]"
1258,1258,Westminster,2021-07-13,Foxtons - Marylebone & Mayfair,0,"Porchester Place, Hyde Park Estate, London W2",0,0,pre-owned,4850000.0,flat,0,Other,5 bed flat for sale,51.515318,-0.166132,274.0,5,3,1,2021-07-13T18:17:25,4850000.0,1,0,1,Edgware Road (B),484,86,"[12, 1, 1, 6]"
1259,1259,Westminster,2021-07-13,Messila Residential,0,"Hatherley Grove, London W2",0,0,pre-owned,575000.0,flat,0,Other,2 bed flat for sale,51.516407,-0.190146,62.0,2,1,1,2021-07-13T14:13:03,595000.0,0,0,0,Royal Oak,403,73,"[12, 5, 1, 6]"
1260,1260,Westminster,2021-07-13,Marsh & Parsons - Pimlico & Westminster,0,"Abbey Orchard Street, Westminster, London SW1P",0,0,pre-owned,800000.0,flat,0,share_of_freehold,1 bed flat for sale,51.497754,-0.132543,74.0,1,1,1,2021-07-13,800000.0,1,1,0,St. James's Park,242,53,"[11, 3, 3, 0]"
1261,1261,Westminster,2021-07-13,Hanover,0,"The Quadrangle, London W2",0,0,pre-owned,1295000.0,flat,0,leasehold,2 bed flat for sale,51.51653,-0.169609,97.0,2,2,1,2021-07-13T13:14:04,1295000.0,1,1,1,Edgware Road (B),461,99,"[12, 2, 0, 3]"
1262,1262,Westminster,2021-07-13,Goldschmidt & Howland - Little Venice,1,"Elgin Avenue, Maida Vale, London W9",0,0,new,1095000.0,flat,0,leasehold,3 bed flat for sale,51.526067,-0.194116,121.0,3,3,0,2021-07-13T12:26:22,1095000.0,0,0,0,Westbourne Park,637,22,"[10, 4, 1, 0]"
1263,1263,Westminster,2021-07-13,Goldschmidt & Howland - Little Venice,1,"Elgin Avenue, Maida Vale, London W9",0,0,new,525000.0,flat,0,leasehold,1 bed flat for sale,51.524345,-0.200329,53.0,1,1,0,2021-07-13T12:26:21,525000.0,0,0,1,Westbourne Park,319,23,"[12, 7, 0, 2]"
1264,1264,Westminster,2021-07-13,Goldschmidt & Howland - Little Venice,1,"Elgin Avenue, Maida Vale, London W9",0,0,new,1075000.0,flat,0,leasehold,3 bed flat for sale,51.528034,-0.189525,118.0,3,3,0,2021-07-13T12:26:20,1075000.0,0,0,1,Maida Vale,260,18,"[9, 2, 2, 0]"
1265,1265,Westminster,2021-07-13,Hogarth Estates,1,"Esterbrooke Street, London SW1P",0,0,pre-owned,575000.0,flat,0,leasehold,1 bed flat for sale,51.492009,-0.133195,47.0,1,1,1,2021-07-13T10:47:43,600000.0,0,0,1,Pimlico,336,45,"[19, 6, 2, 2]"
1266,1266,Westminster,2021-07-13,Right Now Residential,1,"Sophora House, 342 Queenstown Road, Vista Chelsea Bridge SW11",1,0,pre-owned,1195000.0,flat,0,leasehold,2 bed flat for sale,51.480253,-0.148254,78.0,2,2,1,2021-07-13T08:45:46,1250000.0,1,0,1,Sloane Square,1227,14,"[3, 0, 2, 3]"
1267,1267,Westminster,2021-07-12,Savills - Westminster,0,"Central Building, 3 Matthew Parker Street, London SW1H",0,0,pre-owned,995000.0,flat,0,share_of_freehold,1 bed flat for sale,51.500566,-0.130684,69.0,1,1,1,2021-07-12T19:20:12,995000.0,0,1,0,St. James's Park,205,37,"[6, 1, 1, 0]"
1268,1268,Westminster,2021-07-12,CBRE,1,"Parker Street, Covent Garden WC2B",0,0,new,1750000.0,flat,0,Other,2 bed flat for sale,51.51594,-0.121415,77.0,2,0,0,2021-07-12T18:35:01,1750000.0,0,0,1,Holborn,170,266,"[21, 5, 20, 3]"
