,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
1700,1700,Westminster,2021-05-14,Charmill Residential,0,"Chepstow Place, London W2",0,0,pre-owned,995000.0,flat,0,Other,2 bed flat for sale,51.512454,-0.193981,97.0,2,2,1,2021-05-14T14:40:01,995000.0,0,0,1,Notting Hill Gate,350,115,"[16, 4, 3, 8]"
1701,1701,Westminster,2021-05-14,Napier Watt,1,"Portman Square, London W1H",0,0,pre-owned,2850000.0,flat,0,Other,3 bed flat for sale,51.515476,-0.157107,109.0,3,3,1,2021-05-14T13:47:57,2850000.0,0,0,1,Marble Arch,280,152,"[14, 4, 1, 6]"
1702,1702,Westminster,2021-05-13,Savills - Maida Vale & Little Venice,0,"Sutherland Avenue, Maida Vale, London W9",0,0,pre-owned,875000.0,flat,0,share_of_freehold,2 bed flat for sale,51.523487,-0.193793,78.0,2,2,1,2021-05-13T18:36:02,875000.0,0,0,1,Royal Oak,468,21,"[13, 5, 1, 1]"
1703,1703,Westminster,2021-05-13,Knight Frank - Hyde Park Sales,0,"Cleveland Square, Bayswater, London W2",0,0,pre-owned,2700000.0,flat,0,Other,4 bed flat for sale,51.5147,-0.1835,152.0,4,2,1,2021-05-13T16:27:26,2700000.0,1,0,1,Bayswater,603,76,"[4, 4, 1, 4]"
1704,1704,Westminster,2021-05-13,Parkes Estate Agents,0,"Porchester Terrace, London W2",0,0,pre-owned,999000.0,flat,0,leasehold,2 bed flat for sale,51.512809,-0.184677,75.0,2,2,1,2021-05-13T16:01:26,999000.0,1,1,1,Chesham,490,70,"[6, 4, 1, 4]"
1705,1705,Westminster,2021-05-13,Hamptons - Hyde Park & Bayswater Sales,0,"Praed Street, Paddington, London W2",0,0,pre-owned,700000.0,flat,0,leasehold,2 bed flat for sale,51.518867,-0.169404,62.0,2,1,1,2021-05-13T15:02:19,700000.0,0,0,0,Chesham,101,111,"[15, 4, 0, 5]"
1706,1706,Westminster,2021-05-13,Hanover,0,"Cochrane Close, St Johns Wood, London NW8",0,0,pre-owned,850000.0,flat,0,leasehold,2 bed flat for sale,51.532749,-0.17137,76.0,2,1,1,2021-05-13T11:10:21,885000.0,0,1,0,St. John's Wood,276,16,"[11, 2, 0, 1]"
1707,1707,Westminster,2021-05-13,Knight Frank - St John's Wood Sales,0,"Hall Road, London NW8",0,0,pre-owned,5995000.0,detached,0,Other,5 bed detached house for sale,51.528908,-0.180804,500.0,5,6,2,2021-05-13T11:08:56,5995000.0,0,0,1,Maida Vale,389,18,"[4, 4, 2, 0]"
1708,1708,Westminster,2021-05-12,Foxtons - Marylebone & Mayfair,0,"Park Lane, Mayfair, London W1K",0,0,pre-owned,1699000.0,flat,0,Other,1 bed flat for sale,51.507611,-0.152882,60.0,1,1,1,2021-05-12T18:16:23,1799995.0,0,0,0,Hyde Park Corner,513,56,"[1, 0, 1, 0]"
1709,1709,Westminster,2021-05-12,Knight Frank - Hyde Park Sales,0,"Strathearn Place, London W2",0,0,pre-owned,1200000.0,flat,0,Other,2 bed flat for sale,51.513526,-0.170434,106.0,2,2,1,2021-05-12T16:38:49,1300000.0,0,0,1,Chesham,340,73,"[6, 1, 0, 2]"
